sale_id,category_type,category,elevation,price_lo_lkr,price_hi_lkr
UNKNOWN_Sale of 30 December 2025.pdf,off_grade,fannings_orthodox_better,high,850.0,1220.0
UNKNOWN_Sale of 30 December 2025.pdf,off_grade,fannings_orthodox_better,medium,920.0,
UNKNOWN_Sale of 30 December 2025.pdf,off_grade,fannings_orthodox_better,low,850.0,940.0
UNKNOWN_Sale of 30 December 2025.pdf,off_grade,fannings_ctc_better,high,,
UNKNOWN_Sale of 30 December 2025.pdf,off_grade,fannings_ctc_better,medium,,
UNKNOWN_Sale of 30 December 2025.pdf,off_grade,fannings_ctc_better,low,,
UNKNOWN_Sale of 30 December 2025.pdf,off_grade,fannings_orthodox_other,high,600.0,840.0
UNKNOWN_Sale of 30 December 2025.pdf,off_grade,fannings_orthodox_other,medium,610.0,820.0
UNKNOWN_Sale of 30 December 2025.pdf,off_grade,fannings_orthodox_other,low,530.0,830.0
UNKNOWN_Sale of 30 December 2025.pdf,off_grade,fannings_ctc_other,high,,
UNKNOWN_Sale of 30 December 2025.pdf,off_grade,fannings_ctc_other,medium,680.0,750.0
UNKNOWN_Sale of 30 December 2025.pdf,off_grade,fannings_ctc_other,low,600.0,680.0
UNKNOWN_Sale of 30 December 2025.pdf,off_grade,brokens_good,high,780.0,1060.0
UNKNOWN_Sale of 30 December 2025.pdf,off_grade,brokens_good,medium,780.0,1140.0
UNKNOWN_Sale of 30 December 2025.pdf,off_grade,brokens_good,low,780.0,1420.0
UNKNOWN_Sale of 30 December 2025.pdf,off_grade,brokens_other,high,600.0,720.0
UNKNOWN_Sale of 30 December 2025.pdf,off_grade,brokens_other,medium,500.0,730.0
UNKNOWN_Sale of 30 December 2025.pdf,off_grade,brokens_other,low,,
UNKNOWN_Sale of 30 December 2025.pdf,off_grade,bop1a_better,high,760.0,900.0
UNKNOWN_Sale of 30 December 2025.pdf,off_grade,bop1a_better,medium,750.0,1080.0
