sale_id,sale_number,sale_year,sale_month,private_sales_weekly_2026,private_sales_weekly_2025,private_sales_todate_2026,private_sales_todate_2025,public_auction_weekly_2026,public_auction_weekly_2025,public_auction_todate_2026,public_auction_todate_2025,forward_contracts_weekly_2026,forward_contracts_weekly_2025,forward_contracts_todate_2026,forward_contracts_todate_2025,total_sold_weekly_2026,total_sold_weekly_2025,total_sold_todate_2026,total_sold_todate_2025,fx_usd_2026,fx_usd_2025,fx_usd_2024,fx_gbp_2026,fx_gbp_2025,fx_gbp_2024,fx_eur_2026,fx_eur_2025,fx_eur_2024,fx_jpy_2026,fx_jpy_2025,fx_jpy_2024
SALE_2023_46,46,2023.0,November,78328.0,77259.0,4581454.0,3720063.0,4738698.0,3916214.0,215096696.0,215472931.0,25000.0,45650.0,2098908.0,1710490.0,4842026.0,4039123.0,221777058.0,220903484.0,323.05,360.99,198.5,403.32,425.82,264.44,352.37,367.96,222.05,2.17,2.52,1.71
SALE_2023_47,47,2023.0,November,142036.0,79835.0,4723490.0,3799898.0,4630162.0,4202626.0,219726858.0,219675557.0,23000.0,54160.0,2121908.0,1764650.0,4795198.0,4336621.0,226572256.0,225240105.0,324.15,361.23,198.5,410.81,430.42,263.01,355.16,371.66,223.74,2.19,2.58,1.73
SALE_2023_44,44,2023.0,November,101542.0,72890.0,4392340.0,3555238.0,4504247.0,4527276.0,205686386.0,206974358.0,10500.0,46310.0,2053908.0,1619490.0,4616289.0,4646476.0,212132634.0,212149086.0,321.59,360.88,198.5,395.57,412.93,267.77,342.73,358.78,229.02,2.13,2.44,1.74
SALE_2025_25,25,2025.0,July,197417.0,200011.0,5368552.0,2939041.0,5406971.0,5273253.0,121175877.0,114341672.0,44000.0,39500.0,1358831.0,847450.0,5648388.0,5512764.0,127903260.0,118128163.0,295.91,300.54,301.32,405.11,380.07,382.63,347.33,320.98,328.46,2.05,1.87,2.09
SALE_2024_39,39,2024.0,October,100633.0,133293.0,4864312.0,3801663.0,5272353.0,3757361.0,181625285.0,185095341.0,101300.0,22940.0,1828130.0,1974008.0,5474286.0,3913594.0,188317727.0,190871012.0,290.3,318.31,359.16,384.28,383.84,403.95,319.75,331.89,350.53,2.0,2.11,2.46
SALE_2025_34,34,2025.0,September,165981.0,82693.0,7111185.0,4186795.0,4541661.0,5030855.0,166249998.0,158312296.0,20000.0,96180.0,1615231.0,1433250.0,4727642.0,5209728.0,174976414.0,163932341.0,298.3,296.36,317.96,402.18,389.53,399.24,347.91,329.29,341.98,2.02,2.03,2.16
SALE_2024_49,49,2024.0,December,213187.0,136620.0,6346346.0,5022856.0,4475047.0,4023445.0,229130127.0,228393978.0,105000.0,37000.0,2484756.0,2158908.0,4793234.0,4197065.0,237961229.0,235575742.0,286.02,322.24,361.19,363.04,403.42,440.52,300.08,345.28,378.03,1.88,2.2,2.6
SALE_2026_06,6,2026.0,February,167226.0,245835.0,1119831.0,1177536.0,4898035.0,5185038.0,24012876.0,25587189.0,41600.0,50070.0,191600.0,339970.0,5106861.0,5480943.0,25324307.0,27104695.0,305.76,292.79,308.56,417.26,360.2,387.69,362.86,299.73,330.69,1.95,1.91,2.07
SALE_2024_02,2,2024.0,January,77364.0,77485.0,77364.0,77485.0,4514112.0,4580423.0,4514112.0,4580423.0,15000.0,48000.0,15000.0,48000.0,4606476.0,4705908.0,4606476.0,4705908.0,317.83,360.05,198.5,402.18,436.73,268.46,345.76,384.63,224.65,2.18,2.71,1.71
SALE_2026_10,10,2026.0,March,196032.0,305419.0,2297136.0,2052407.0,4063437.0,4624724.0,42324532.0,44598576.0,34000.0,62820.0,370560.0,614336.0,4293469.0,4992963.0,44621668.0,47265319.0,307.18,291.25,306.06,411.75,374.66,386.49,355.81,313.87,330.31,1.93,1.96,2.02
SALE_2024_23,23,2024.0,June,146108.0,79834.0,2601259.0,2291565.0,5586586.0,6026784.0,104189974.0,105130576.0,49200.0,154240.0,742660.0,1360868.0,5781894.0,6260858.0,107533893.0,108783009.0,298.79,303.19,355.72,379.44,381.69,434.07,319.3,325.78,371.1,1.89,2.15,2.61
SALE_2024_45,45,2024.0,November,110191.0,110785.0,5775369.0,4503126.0,4984144.0,4672059.0,210908525.0,210908525.0,99520.0,20000.0,2247856.0,2073908.0,5193855.0,4802844.0,218931750.0,217485559.0,288.19,321.71,360.96,369.08,393.47,422.41,305.25,342.47,369.97,1.86,2.11,2.55
