table,column,description,data_type,example_value
01_sales_index,sale_id,Primary key: SALE_{number}_{year},text,SALE_2023_46
01_sales_index,sale_number,Auction sale number within the year,integer,46
01_sales_index,sale_date_raw,Date string as printed in PDF header,text,21ST/22ND November 2023
01_sales_index,sale_year,Calendar year of the sale,integer,2023.0
01_sales_index,sale_month,Month name of the sale,text,November
01_sales_index,source_file,PDF filename this row was extracted from,text,Sale of  21 & 22 November 2023.pdf
01_sales_index,extracted_at,ISO timestamp of extraction run,datetime,2026-04-22T19:38:30
01_sales_index,total_lots,Total lots offered across all categories,integer,10546.0
01_sales_index,total_kgs,Total kg offered across all categories,integer,5235507.0
01_sales_index,reprint_lots,Number of re-print lots,integer,849.0
01_sales_index,reprint_quantity,Re-print quantity in kg,integer,425010.0
01_sales_index,settlement_10pct,10% payment date (DD/MM/YYYY),date,24/11/2023
01_sales_index,settlement_buyers,Buyers' prompt date (DD/MM/YYYY),date,28/11/2023
01_sales_index,settlement_sellers,Sellers' prompt date (DD/MM/YYYY),date,29/11/2023
