sale_id,auction_date,region,region_label,lat,lon,pdf_source,text_condition_score,text_crop_change,text_has_rain,text_has_mist,text_has_bright,text_has_thunder,text_keywords,text_raw_summary,temperature_2m_max_mean,temperature_2m_max_max,temperature_2m_max_min,temperature_2m_min_mean,temperature_2m_min_max,temperature_2m_min_min,temperature_2m_mean_mean,temperature_2m_mean_max,temperature_2m_mean_min,precipitation_sum_total,precipitation_sum_max_day,rain_sum_total,rain_sum_max_day,windspeed_10m_max_mean,windspeed_10m_max_max,windspeed_10m_max_min,sunshine_duration_total,sunshine_duration_max_day,et0_fao_evapotranspiration_total,et0_fao_evapotranspiration_max_day,relative_humidity_2m_max_mean,relative_humidity_2m_max_max,relative_humidity_2m_max_min,relative_humidity_2m_min_mean,relative_humidity_2m_min_max,relative_humidity_2m_min_min,fetch_start,fetch_end,precipitation_sum_total_lag1,sunshine_duration_total_lag1,temperature_2m_mean_mean_lag1,precipitation_sum_total_lag2,sunshine_duration_total_lag2,temperature_2m_mean_mean_lag2,precipitation_sum_total_lag3,sunshine_duration_total_lag3,temperature_2m_mean_mean_lag3
SALE_2023_42,2023-10-24,low_grown,Low Grown (Matara / Galle belt),6.25,80.3,Sale of 24 & 25 October 2023.pdf,0,decrease,0,0,0,0,,"Low Grown
the week ahead.
Region reported a decline.",27.49,29.6,25.6,22.6,23.3,22.2,24.4,25.3,23.7,230.0,43.9,230.0,43.9,10.74,13.6,7.9,85671.11,29313.52,14.97,3.27,98.29,99,98,82.43,90,72,2023-10-17,2023-10-23,65.2,154747.77,25.03,191.6,140305.23,25.09,169.6,138530.06,24.86
SALE_2023_44,2023-11-07,low_grown,Low Grown (Matara / Galle belt),6.25,80.3,Sale of  7 & 8 November 2023.pdf,0,decrease,0,0,0,0,,"Low Grown
regions in the week ahead. regions reported a decline.",29.3,30.0,28.5,22.31,22.6,22.0,24.69,24.8,24.6,112.7,23.3,112.7,23.3,10.49,13.0,8.0,149389.19,25124.06,19.7,3.26,98.57,99,97,73.71,76,70,2023-10-31,2023-11-06,98.8,216527.12,25.29,230.0,85671.11,24.4,65.2,154747.77,25.03
SALE_2023_45,2023-11-14,low_grown,Low Grown (Matara / Galle belt),6.25,80.3,Sale of 14 & 15 November 2023.pdf,-2,unknown,1,0,1,0,sunny|showers|heavy,"Low Growns
Sunny mornings and evening showers were reported in the Low
Grown Region throughout the week. The Department of
Meteorology expects fairly heavy showers in the Ruhuna and
Sabaragamuwa regions in the week ahead.",29.4,30.2,28.5,22.36,22.9,21.9,24.93,25.4,24.5,168.9,39.1,168.9,39.1,9.89,11.1,8.3,161869.25,31161.87,20.76,3.46,98.86,100,98,73.57,78,71,2023-11-07,2023-11-13,112.7,149389.19,24.69,98.8,216527.12,25.29,230.0,85671.11,24.4
SALE_2023_46,2023-11-21,low_grown,Low Grown (Matara / Galle belt),6.25,80.3,Sale of  21 & 22 November 2023.pdf,0,decrease,1,0,1,0,sunny|showers,"Low Grown Region reported a decline.
Uva/Udapussellawa Region
Sunny mornings and evening showers were reported in",28.76,30.2,27.1,23.0,23.4,22.5,25.14,25.7,24.2,150.3,37.8,150.3,37.8,10.87,13.7,9.2,159786.13,33062.5,19.07,3.58,98.71,100,98,78.29,85,73,2023-11-14,2023-11-20,168.9,161869.25,24.93,112.7,149389.19,24.69,98.8,216527.12,25.29
SALE_2023_47,2023-11-28,low_grown,Low Grown (Matara / Galle belt),6.25,80.3,Sale of  28 & 29 November 2023.pdf,0,decrease,1,0,1,0,bright|showers,"Low Grown regions
showers, whilst the Bogawantalawa and Talawakelle sub-regions reported a decline in the crop intake,
reported bright weather towards the latter part of the week. The whilst the Nuwara Eliya,",30.24,31.5,29.0,22.43,23.1,21.1,25.44,25.9,24.7,124.5,48.2,124.5,48.2,12.29,16.7,8.4,224789.53,39840.67,24.1,4.35,98.71,100,96,68.0,78,56,2023-11-21,2023-11-27,150.3,159786.13,25.14,168.9,161869.25,24.93,112.7,149389.19,24.69
SALE_2023_48,2023-12-12,low_grown,Low Grown (Matara / Galle belt),6.25,80.3,Sale of 12 & 13 December 2023.pdf,0,decrease,0,0,0,0,,"Low Grown regions, whilst the Western
ahead.
Medium and Udapussellawa regions
reported a decline.",29.11,30.6,27.5,22.57,23.1,22.0,25.01,25.8,24.7,117.6,34.8,117.6,34.8,9.63,11.9,6.4,174732.38,34666.25,19.56,3.81,99.0,100,98,74.57,83,63,2023-12-05,2023-12-11,161.6,110514.7,24.89,124.5,224789.53,25.44,150.3,159786.13,25.14
SALE_2023_50,2023-12-18,low_grown,Low Grown (Matara / Galle belt),6.25,80.3,Sale of 18 & 19 December 2023.pdf,-4,unknown,1,1,1,0,sunny|showers|misty|mist|heavy,"Low Growns
The Low Grown Region reported sunny mornings and evening
showers throughout the week. The Department of Meteorology
expects fairly heavy showers in the Sabaragamuwa Region and
misty conditions in both the Ruhuna and Sabaragamuwa regions in
the week ahead.",29.39,30.9,27.5,22.54,23.2,21.5,25.07,25.6,24.4,110.9,26.7,110.9,26.7,10.8,18.0,6.6,174739.87,36330.82,20.26,3.81,98.71,100,97,73.43,81,63,2023-12-11,2023-12-17,171.2,140682.51,24.9,109.4,145169.02,25.06,125.3,222096.08,25.47
SALE_2024_01,2024-01-04,low_grown,Low Grown (Matara / Galle belt),6.25,80.3,Sale of 4 & 5 January 2024.pdf,-5,decrease,1,1,0,0,showers|misty|mist|heavy,"Low Grown regions reported a decline
misty mornings in the Nuwara Eliya Region and misty morning
in the crop intake, whilst the Nuwara
together with heavy showers in the",29.31,30.5,27.4,22.83,23.6,22.3,25.27,25.7,24.6,101.3,36.0,101.3,36.0,11.31,21.7,7.8,163892.03,31318.3,19.89,3.37,97.86,100,94,75.14,86,69,2023-12-28,2024-01-03,33.8,271710.13,25.91,132.1,169943.87,25.19,108.1,185027.56,25.04
SALE_2024_02,2024-01-10,low_grown,Low Grown (Matara / Galle belt),6.25,80.3,Sale of 10 & 11 January 2024.pdf,-3,unknown,1,0,0,0,showers|heavy,"Low Growns
The Low Grown Region reported overcast weather and showers
throughout the week. Heavy showers are expected in the
Sabaragamuwa Region in the week ahead according to the
Department of Meteorology.",29.43,30.6,27.0,22.49,23.1,21.9,25.1,25.5,24.5,99.1,25.7,99.1,25.7,9.89,14.1,7.0,158938.08,36650.01,20.42,3.77,98.86,100,98,72.71,83,67,2024-01-03,2024-01-09,98.1,169459.82,25.39,32.7,275813.22,25.87,135.4,162167.82,25.16
SALE_2024_03,2024-01-16,low_grown,Low Grown (Matara / Galle belt),6.25,80.3,Sale of 16 & 17 January 2024.pdf,1,unknown,0,0,1,0,bright,"Low Growns
Bright mornings and overcast evenings were reported in the Low
Grown Region throughout the week. According to the Department
of Meteorology, overcast morning are expected in the
Sabaragamuwa Region in the week ahead.",29.3,30.8,25.8,22.09,23.1,21.1,25.07,25.7,24.3,62.5,22.9,62.5,22.9,11.19,18.7,6.8,196306.08,41482.29,22.96,4.51,99.0,100,96,69.14,88,59,2024-01-09,2024-01-15,98.3,187287.67,25.16,80.5,179856.01,25.49,46.8,259244.51,25.73
