sale_id,sale_number,sale_year,sale_month,private_sales_weekly_2026,private_sales_weekly_2025,private_sales_todate_2026,private_sales_todate_2025,public_auction_weekly_2026,public_auction_weekly_2025,public_auction_todate_2026,public_auction_todate_2025,forward_contracts_weekly_2026,forward_contracts_weekly_2025,forward_contracts_todate_2026,forward_contracts_todate_2025,total_sold_weekly_2026,total_sold_weekly_2025,total_sold_todate_2026,total_sold_todate_2025,fx_usd_2026,fx_usd_2025,fx_usd_2024,fx_gbp_2026,fx_gbp_2025,fx_gbp_2024,fx_eur_2026,fx_eur_2025,fx_eur_2024,fx_jpy_2026,fx_jpy_2025,fx_jpy_2024,avg_qty_mkgs_27th_august_2025,avg_lkr_27th_august_2025,avg_usd_27th_august_2025,avg_qty_mkgs_29th_october_2025,avg_lkr_29th_october_2025,avg_usd_29th_october_2025,avg_qty_mkgs_30th_september_2025,avg_lkr_30th_september_2025,avg_usd_30th_september_2025,avg_qty_mkgs_26th_november_2025,avg_lkr_26th_november_2025,avg_usd_26th_november_2025,avg_qty_mkgs_29th_april_2025,avg_lkr_29th_april_2025,avg_usd_29th_april_2025,avg_qty_mkgs_07th_may_2025,avg_lkr_07th_may_2025,avg_usd_07th_may_2025,avg_qty_mkgs_14th_may_2025,avg_lkr_14th_may_2025,avg_usd_14th_may_2025,avg_qty_mkgs_21st_may_2025,avg_lkr_21st_may_2025,avg_usd_21st_may_2025,avg_qty_mkgs_28th_may_2025,avg_lkr_28th_may_2025,avg_usd_28th_may_2025,avg_qty_mkgs_04th_june_2025,avg_lkr_04th_june_2025,avg_usd_04th_june_2025,avg_qty_mkgs_11th_june_2025,avg_lkr_11th_june_2025,avg_usd_11th_june_2025,avg_qty_mkgs_18th_june_2025,avg_lkr_18th_june_2025,avg_usd_18th_june_2025,avg_qty_mkgs_25th_june_2025,avg_lkr_25th_june_2025,avg_usd_25th_june_2025,avg_qty_mkgs_01st_july_2025,avg_lkr_01st_july_2025,avg_usd_01st_july_2025,avg_qty_mkgs_02nd_july_2025,avg_lkr_02nd_july_2025,avg_usd_02nd_july_2025,avg_qty_mkgs_08th_july_2025,avg_lkr_08th_july_2025,avg_usd_08th_july_2025,avg_qty_mkgs_16th_july_2025,avg_lkr_16th_july_2025,avg_usd_16th_july_2025,avg_qty_mkgs_23rd_july_2025,avg_lkr_23rd_july_2025,avg_usd_23rd_july_2025,avg_qty_mkgs_30th_july_2025,avg_lkr_30th_july_2025,avg_usd_30th_july_2025
SALE_32_2025,32,2025,August,208939.0,118848.0,6745148.0,3979051.0,4962379.0,5151886.0,156950187.0,148304008.0,20000.0,70480.0,1571231.0,1252810.0,5191318.0,5341214.0,165266566.0,153535869.0,297.5,295.08,313.99,400.46,375.51,396.43,345.42,321.01,341.81,2.0,1.99,2.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SALE_33_2025,33,2025,August,200055.0,125050.0,6945204.0,4104102.0,4758500.0,4977433.0,161708687.0,153281441.0,24000.0,84260.0,1595231.0,1337070.0,4982555.0,5186743.0,170249122.0,158722613.0,298.47,295.08,313.99,400.81,375.51,396.43,345.88,321.01,341.81,2.01,1.99,2.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SALE_38_2025,38,2025,September,,,,,,,,,,,,,,,,,298.76,299.71,318.73,400.06,398.63,389.17,348.99,331.33,337.85,1.99,2.07,2.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SALE_34_2025,34,2025,September,165981.0,82693.0,7111185.0,4186795.0,4541661.0,5030855.0,166249998.0,158312296.0,20000.0,96180.0,1615231.0,1433250.0,4727642.0,5209728.0,174976414.0,163932341.0,298.3,296.36,317.96,402.18,389.53,399.24,347.91,329.29,341.98,2.02,2.03,2.16,2025.0,2025.0,2025.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SALE_44_2025,44,2025,November,134264.0,173299.0,9033346.0,5665178.0,4605134.0,4870545.0,211071443.0,205924381.0,20000.0,63050.0,2085259.0,2148336.0,4759398.0,5106894.0,222190048.0,213737895.0,300.5,288.54,321.59,349.3,371.41,395.57,345.78,309.42,342.73,1.93,1.86,2.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SALE_40_2025,40,2025,October,134899.0,191085.0,8366341.0,5055397.0,4476080.0,5165167.0,192952381.0,186791052.0,44250.0,71046.0,1948069.0,1899176.0,4655229.0,5427298.0,203266791.0,193745625.0,298.84,288.96,318.02,397.49,376.96,390.21,344.58,315.81,335.88,1.95,1.94,2.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SALE_48_2025,48,2025,December,274893.0,142517.0,10133599.0,6133159.0,4682978.0,4262590.0,229436758.0,224655080.0,36800.0,58600.0,2256139.0,2379756.0,4994671.0,4463707.0,241826496.0,233167995.0,305.34,286.19,322.68,406.85,360.91,405.36,357.02,298.63,346.81,1.95,1.9,2.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SALE_36_2025,36,2025,September,210438.0,168725.0,7479682.0,4445044.0,4512363.0,4865958.0,175162234.0,167935564.0,33580.0,69330.0,1674819.0,1576560.0,4756381.0,5104013.0,184316735.0,173957168.0,298.31,294.59,316.77,404.9,385.47,394.46,350.0,324.8,338.96,2.01,2.05,2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SALE_45_2025,45,2025,November,236813.0,110191.0,9270160.0,5775369.0,4489564.0,4985264.0,215561007.0,210909645.0,55750.0,99520.0,2141009.0,2247856.0,4782127.0,5194975.0,226972176.0,218932870.0,303.32,288.19,321.71,397.76,369.08,393.47,350.38,305.25,342.47,1.94,1.86,2.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SALE_41_2025,41,2025,October,137629.0,145081.0,8503971.0,5200479.0,4609442.0,4976078.0,197561823.0,191767130.0,31360.0,66710.0,1979429.0,1965886.0,4778431.0,5187869.0,208045223.0,198933495.0,299.22,288.91,318.27,399.56,376.26,387.28,346.91,313.1,334.39,1.97,1.93,2.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
