sale_id,estate,grade,fw_sold,price_lkr,region
SALE_32_2025,Ancoombra,BOP,0,1850,WESTERN MEDIUM
SALE_32_2025,Ancoombra,BOPSp,0,1550,UDAPUSSELLAWAS
SALE_32_2025,Craighead,BOPSp,1,1460,UDAPUSSELLAWAS
SALE_32_2025,Blairlomond,BOPSp,1,840,UDAPUSSELLAWAS
SALE_32_2025,Galgewatta,BOP1,0,1700,UDAPUSSELLAWAS
SALE_32_2025,Maha Uva,FBOPF/FBOPF1,1,1750,UDAPUSSELLAWAS
SALE_32_2025,Harangalla,FBOPF/FBOPF1,1,1650,UDAPUSSELLAWAS
SALE_32_2025,Ancoombra,FBOPF/FBOPF1,0,1650,UDAPUSSELLAWAS
SALE_32_2025,Dartry Valley,FBOPF/FBOPF1,1,1600,UDAPUSSELLAWAS
SALE_32_2025,Imboolpittia,FBOPF/FBOPF1,1,1460,UDAPUSSELLAWAS
SALE_32_2025,Gonapitiya,OP1,0,1200,UDAPUSSELLAWAS
SALE_32_2025,New Rothschild,OP1,0,1380,UDAPUSSELLAWAS
SALE_32_2025,Nawagamuwehena,BOP,0,2700,LOW GROWNS
SALE_32_2025,Elaine Super,BOP,0,2700,LOW GROWNS
SALE_32_2025,Andaradeniya Super,BOP,0,2650,LOW GROWNS
SALE_32_2025,Hidellana,BOP,1,2350,LOW GROWNS
SALE_32_2025,WESTERN HIGH Stream Line,BOPSp,0,2600,WESTERN HIGH
SALE_32_2025,Wattegodde,BOP,1,1320,WESTERN HIGH
SALE_32_2025,Kotiyagalla,BOPSp,1,1360,WESTERN HIGH
SALE_32_2025,Rain Forest,BOPSp,0,2050,WESTERN HIGH
SALE_32_2025,Kings Bru,BOPF,0,1850,WESTERN HIGH
SALE_32_2025,Greenwin Super,BOPFSp,0,2200,WESTERN HIGH
SALE_32_2025,Sithaka,FBOP,0,2550,WESTERN HIGH
SALE_32_2025,Sithaka,FBOP1,0,2000,WESTERN HIGH
SALE_32_2025,Bambrakelly,BOP1,0,1600,WESTERN HIGH
SALE_32_2025,Glenloch,BOP1,1,1550,WESTERN HIGH
SALE_32_2025,Pothotuwa,FBOPF1,1,1750,WESTERN HIGH
SALE_32_2025,Glenloch,FBOPF/FBOPF1,1,1480,WESTERN HIGH
SALE_32_2025,Adams View,FBOPF1,1,1750,WESTERN HIGH
SALE_32_2025,Lumbini,FBOPF1,0,1750,WESTERN HIGH
SALE_32_2025,Makandura,BOP1,0,3000,WESTERN HIGH
SALE_32_2025,Pothotuwa,BOP1,1,2900,WESTERN HIGH
SALE_32_2025,Frotoft Super,OP1,0,1120,WESTERN HIGH
SALE_32_2025,Berubeula,OP,0,1550,WESTERN HIGH
SALE_32_2025,Nilrich,OP,0,1550,WESTERN HIGH
SALE_32_2025,Mulatiyana Hills,OP,0,1550,WESTERN HIGH
SALE_32_2025,Rotumba,OP,0,1550,WESTERN HIGH
SALE_32_2025,NUWARA ELIYAS Green Lanka,OP,0,1550,NUWARA ELIYAS
SALE_32_2025,Fortune,OP,1,1500,NUWARA ELIYAS
SALE_32_2025,Ceyenta,OP,0,1500,NUWARA ELIYAS
SALE_32_2025,Sihara,OP,0,1500,NUWARA ELIYAS
SALE_32_2025,Magedara,OP,0,1500,NUWARA ELIYAS
SALE_32_2025,Miriswatta,OP,0,1500,NUWARA ELIYAS
SALE_32_2025,UDAPUSSELLAWAS Liyonta,OPA,0,1750,UDAPUSSELLAWAS
SALE_32_2025,Luckyland,BOP,0,1080,UDAPUSSELLAWAS
SALE_32_2025,Mooloya,BOP,0,1080,UDAPUSSELLAWAS
SALE_32_2025,High Forest,BOP,1,960,UDAPUSSELLAWAS
SALE_32_2025,Kirklees,BOP,0,960,UDAPUSSELLAWAS
SALE_33_2025,Ancoombra,BOP,0,1850,NUWARA ELIYAS
SALE_33_2025,Uplands,BOP,0,1850,NUWARA ELIYAS
SALE_33_2025,Dartry Valley,BOP,1,1750,NUWARA ELIYAS
SALE_33_2025,Harangalla,BOP,0,1750,NUWARA ELIYAS
SALE_33_2025,Craighead,BOP,1,1550,NUWARA ELIYAS
SALE_33_2025,Ancoombra,BOPSp,0,1440,UDAPUSSELLAWAS
SALE_33_2025,High Forest,BOP,1,1020,UDAPUSSELLAWAS
SALE_33_2025,Harangalla,BOP1,0,1850,UDAPUSSELLAWAS
SALE_33_2025,Mooloya,BOP,0,1020,UDAPUSSELLAWAS
SALE_33_2025,Craighead,FBOPF/FBOPF1,1,1600,UDAPUSSELLAWAS
SALE_33_2025,Dartry Valley,FBOPF/FBOPF1,1,1600,UDAPUSSELLAWAS
SALE_33_2025,Doombagastalawa,FBOPF/FBOPF1,1,1500,UDAPUSSELLAWAS
SALE_33_2025,Craighead,OP1,1,1750,UDAPUSSELLAWAS
SALE_33_2025,Maha Uva,BOP1,1,1200,UDAPUSSELLAWAS
SALE_33_2025,Delmar,FBOPF/FBOPF1,1,1440,UDAPUSSELLAWAS
SALE_33_2025,High Forest,OP1,0,1080,UDAPUSSELLAWAS
SALE_33_2025,Delmar,OP1,1,1040,UDAPUSSELLAWAS
SALE_33_2025,Mahaliyadda,BOP,0,2400,LOW GROWNS
SALE_33_2025,Lellopitiya Super,BOPSp,0,2000,LOW GROWNS
SALE_33_2025,WESTERN HIGH Kings Bru,BOPF,0,1900,WESTERN HIGH
SALE_33_2025,Inverness,BOP,0,1380,WESTERN HIGH
SALE_33_2025,Dessford,BOPSp,1,1400,WESTERN HIGH
SALE_33_2025,Norwood,BOPSp,1,1360,WESTERN HIGH
SALE_33_2025,Wanarajah,BOPSp,1,1340,WESTERN HIGH
SALE_33_2025,Sithaka,FBOP,0,2450,WESTERN HIGH
SALE_33_2025,Galatara,FBOP,0,2450,WESTERN HIGH
SALE_33_2025,Pothotuwa,FBOP,1,2300,WESTERN HIGH
SALE_33_2025,Ceciliyan,FBOP1,1,1950,WESTERN HIGH
SALE_33_2025,Torrington,BOP1,1,1950,WESTERN HIGH
SALE_33_2025,Inverness,BOP1,0,1950,WESTERN HIGH
SALE_33_2025,Gunawardana,FBOPF1,1,1750,WESTERN HIGH
SALE_33_2025,Torrington,FBOPF/FBOPF1,1,1440,WESTERN HIGH
SALE_33_2025,Frotoft Super,FBOPF/FBOPF1,0,1440,WESTERN HIGH
SALE_33_2025,Bogahawatte,FBOPF/FBOPF1,0,1440,WESTERN HIGH
SALE_33_2025,Nilrich,FBOPF1,0,1700,WESTERN HIGH
SALE_33_2025,Lickra,FBOPF1,0,1700,WESTERN HIGH
