table,column,description,data_type,example_value
01_sales_index,sale_id,,,SALE_32_2025
01_sales_index,sale_number,,,32
01_sales_index,sale_date_raw,,,19TH/20TH August 2025
01_sales_index,sale_year,,,2025
01_sales_index,sale_month,,,August
01_sales_index,source_file,,,SALE NO 32-2025.pdf
01_sales_index,extracted_at,,,2026-04-19T10:04:03
01_sales_index,total_lots,,,11205.0
01_sales_index,total_kgs,,,5502017.0
01_sales_index,reprint_lots,,,833.0
01_sales_index,reprint_quantity,,,438081.0
01_sales_index,settlement_10pct,,,22/08/2025
01_sales_index,settlement_buyers,,,26/08/2025
01_sales_index,settlement_sellers,,,27/08/2025
01_sales_index,commentary,,,"Auctionofferingstotalled5.5M/Kgs,downfromthepreviousweek's6.0M/Kgs.TherewasfairgeneraldemandfortheLow Growns,whilsttherewasimprovedactivityfortheHigh&MidGrowns(bothLeafyandSmallLeafteas). Ex-Estateofferingscomprisedof0.73M/Kgs,downfromthe0.80M/Kgsonofferthepreviousweek.Overallqualityofteas showednosignificantchange. BetterWesternBOP/BOPF'sweremarginallyeasier.ImprovedBOP/BOPF'sintheBelowBestcategorygainedbyRs.20-40per kg.PlainerBOP'swerefirm,whilstthecorrespondingBOPF'swerefirmandRs.20perkgdearer.NuwaraEliyas'continuedto beaweakfeaturewithmostBOP/BOPF'sinvoicesremainingunsold.UdaPussellawas'mainlycomprisingofteasatthelower endofthemarketappreciatedbyRs.20-40perkg.UvaseasonalteascontinuedtosellwellwithpricesforBOP/BOPF'sranging betweenRs.2,500-3,400perkgandRs.2,200-2,400perkgrespectively,whilsttheothernon-seasonaltypessoldaroundlast. CTCteascontinuedtosellaroundlastweek'slevels,whilsttherewasmoreactivityallround. AselectionofLeafyseasonalandnon-seasonalteassoldwell. Fairactivityfromshipperstothecontinent,JapanandChina.LessactivityfromshipperstoSouthAfrica,whilstshipperstothe CISandtheMiddleEastcontinuedtobidonawidecross-sectionoftheteas. LowGrownscomprisedofapproximately2.3M/Kgs.TheSemi-Leafy,TippyandPremiumcategoriesexperiencedfairdemand, whilsttheLeafycategorymetwithlessdemand. IntheLeafyandSemi-Leafycatalogues,well-madeBOP1'swerefirm,whilsttheBelowBesttogetherwiththeboldervarieties wereeasier.Teasatthebottommaintained.Well-madeOP1'smaintained,whilstthebalancedeclined.Select"
01_sales_index,sentiment_overall,,,0.3077
01_sales_index,sentiment_ex_estate,,,0.0
01_sales_index,sentiment_low_grown,,,0.3077
01_sales_index,western_nuwara_eliya_weather_desc,,,"Rain was reported in the Western Region, whilst the Nuwara The Nuwara Eliya, Uva, Uda Pussellawa Eliya Region reported bright mornings and evening showers and Western regions maintained the throughout the week. According to the Department of"
01_sales_index,western_nuwara_eliya_weather_score,,,3
01_sales_index,uva_udapussellawa_weather_desc,,,The Uva and Uda Pussellawa regions reported bright weather and occasional showers throughout the week. The Department of Meteorology expects rain in both regions in the week ahead.
01_sales_index,uva_udapussellawa_weather_score,,,3
01_sales_index,low_grown_weather_desc,,,"-Leafy 2,033 775,290 LowGrown-SemiLeafy 1,592 673,019 LowGrown-Tippy 1,922 898,050 Quality PremiumFlowery 399 53,112 Overall,similartolast. OffGrades 2,458 1,268,903 Dust 524 458,330 Total 11,205 5,502,017 Re-Prints 833 438,081"
01_sales_index,low_grown_weather_score,,,3
01_sales_index,crop_notes,,,"AND WEATHER FOR THE PERIOD 13 - 18 August 2025 Crop Western/Nuwara Eliya Regions Rain was reported in the Western Region, whilst the Nuwara The Nuwara Eliya, Uva, Uda Pussellawa Eliya Region reported bright mornings and evening showers and Western regions maintained the throughout the week. Accordin"
01_sales_index,avg_weather_severity,,,3.0
01_sales_index,crop_nuwara_eliya_trend,,,1.0
01_sales_index,crop_western_trend,,,1.0
01_sales_index,crop_uva_trend,,,1.0
01_sales_index,crop_low_grown_trend,,,1.0
01_sales_index,private_sales_weekly_2026,,,208939.0
01_sales_index,private_sales_weekly_2025,,,118848.0
01_sales_index,private_sales_todate_2026,,,6745148.0
01_sales_index,private_sales_todate_2025,,,3979051.0
01_sales_index,public_auction_weekly_2026,,,4962379.0
01_sales_index,public_auction_weekly_2025,,,5151886.0
01_sales_index,public_auction_todate_2026,,,156950187.0
01_sales_index,public_auction_todate_2025,,,148304008.0
01_sales_index,forward_contracts_weekly_2026,,,20000.0
01_sales_index,forward_contracts_weekly_2025,,,70480.0
01_sales_index,forward_contracts_todate_2026,,,1571231.0
01_sales_index,forward_contracts_todate_2025,,,1252810.0
01_sales_index,total_sold_weekly_2026,,,5191318.0
01_sales_index,total_sold_weekly_2025,,,5341214.0
01_sales_index,total_sold_todate_2026,,,165266566.0
01_sales_index,total_sold_todate_2025,,,153535869.0
01_sales_index,fx_usd_2026,,,297.5
01_sales_index,fx_usd_2025,,,295.08
01_sales_index,fx_usd_2024,,,313.99
01_sales_index,fx_gbp_2026,,,400.46
01_sales_index,fx_gbp_2025,,,375.51
01_sales_index,fx_gbp_2024,,,396.43
01_sales_index,fx_eur_2026,,,345.42
01_sales_index,fx_eur_2025,,,321.01
01_sales_index,fx_eur_2024,,,341.81
01_sales_index,fx_jpy_2026,,,2.0
01_sales_index,fx_jpy_2025,,,1.99
01_sales_index,fx_jpy_2024,,,2.15
01_sales_index,avg_qty_mkgs_27th_august_2025,,,2025.0
01_sales_index,avg_lkr_27th_august_2025,,,2025.0
01_sales_index,avg_usd_27th_august_2025,,,2025.0
01_sales_index,gross_lkr_weekly_uva_high_2026,,,1078.53
01_sales_index,gross_lkr_weekly_uva_high_2025,,,1155.32
01_sales_index,gross_lkr_todate_uva_high_2026,,,1038.76
01_sales_index,gross_lkr_todate_uva_high_2025,,,1114.09
01_sales_index,gross_lkr_weekly_western_high_2026,,,1159.31
01_sales_index,gross_lkr_weekly_western_high_2025,,,1163.53
01_sales_index,gross_lkr_todate_western_high_2026,,,1093.72
01_sales_index,gross_lkr_todate_western_high_2025,,,1192.96
01_sales_index,gross_lkr_weekly_ctc_high_2026,,,1101.42
01_sales_index,gross_lkr_weekly_ctc_high_2025,,,1000.1
01_sales_index,gross_lkr_todate_ctc_high_2026,,,1071.21
01_sales_index,gross_lkr_todate_ctc_high_2025,,,1106.24
01_sales_index,gross_lkr_weekly_high_summary_2026,,,1128.35
01_sales_index,gross_lkr_weekly_high_summary_2025,,,1160.69
01_sales_index,gross_lkr_todate_high_summary_2026,,,1075.71
01_sales_index,gross_lkr_todate_high_summary_2025,,,1167.57
01_sales_index,gross_lkr_weekly_uva_medium_2026,,,1097.71
01_sales_index,gross_lkr_weekly_uva_medium_2025,,,1095.6
01_sales_index,gross_lkr_todate_uva_medium_2026,,,1068.68
01_sales_index,gross_lkr_todate_uva_medium_2025,,,1144.57
01_sales_index,gross_lkr_weekly_western_medium_2026,,,1015.67
01_sales_index,gross_lkr_weekly_western_medium_2025,,,1012.61
01_sales_index,gross_lkr_todate_western_medium_2026,,,1004.38
01_sales_index,gross_lkr_todate_western_medium_2025,,,1070.98
01_sales_index,gross_lkr_weekly_ctc_medium_2026,,,927.54
01_sales_index,gross_lkr_weekly_ctc_medium_2025,,,949.03
01_sales_index,gross_lkr_todate_ctc_medium_2026,,,940.02
01_sales_index,gross_lkr_todate_ctc_medium_2025,,,978.34
01_sales_index,gross_lkr_weekly_medium_summary_2026,,,1039.68
01_sales_index,gross_lkr_weekly_medium_summary_2025,,,1038.77
01_sales_index,gross_lkr_todate_medium_summary_2026,,,1025.62
01_sales_index,gross_lkr_todate_medium_summary_2025,,,1096.09
01_sales_index,gross_lkr_weekly_orthodox_low_2026,,,1314.25
01_sales_index,gross_lkr_weekly_orthodox_low_2025,,,1304.65
01_sales_index,gross_lkr_todate_orthodox_low_2026,,,1260.54
01_sales_index,gross_lkr_todate_orthodox_low_2025,,,1380.88
01_sales_index,gross_lkr_weekly_ctc_low_2026,,,976.92
01_sales_index,gross_lkr_weekly_ctc_low_2025,,,948.61
01_sales_index,gross_lkr_todate_ctc_low_2026,,,980.03
01_sales_index,gross_lkr_todate_ctc_low_2025,,,1002.99
01_sales_index,gross_lkr_weekly_low_summary_2026,,,1289.61
01_sales_index,gross_lkr_weekly_low_summary_2025,,,1280.84
01_sales_index,gross_lkr_todate_low_summary_2026,,,1245.12
01_sales_index,gross_lkr_todate_low_summary_2025,,,1356.55
01_sales_index,gross_lkr_weekly_total_2026,,,1221.77
01_sales_index,gross_lkr_weekly_total_2025,,,1212.16
01_sales_index,gross_lkr_todate_total_2026,,,1172.55
01_sales_index,gross_lkr_todate_total_2025,,,1271.55
01_sales_index,avg_qty_mkgs_29th_october_2025,,,2025.0
01_sales_index,avg_lkr_29th_october_2025,,,2025.0
01_sales_index,avg_usd_29th_october_2025,,,2025.0
01_sales_index,avg_qty_mkgs_30th_september_2025,,,2025.0
01_sales_index,avg_lkr_30th_september_2025,,,2025.0
01_sales_index,avg_usd_30th_september_2025,,,2025.0
01_sales_index,avg_qty_mkgs_26th_november_2025,,,2025.0
01_sales_index,avg_lkr_26th_november_2025,,,2025.0
01_sales_index,avg_usd_26th_november_2025,,,2025.0
01_sales_index,avg_qty_mkgs_29th_april_2025,,,2025.0
01_sales_index,avg_lkr_29th_april_2025,,,2025.0
01_sales_index,avg_usd_29th_april_2025,,,2025.0
01_sales_index,avg_qty_mkgs_07th_may_2025,,,5.7
01_sales_index,avg_lkr_07th_may_2025,,,1166.87
01_sales_index,avg_usd_07th_may_2025,,,3.95
01_sales_index,avg_qty_mkgs_14th_may_2025,,,4.26
01_sales_index,avg_lkr_14th_may_2025,,,1170.01
01_sales_index,avg_usd_14th_may_2025,,,3.97
01_sales_index,avg_qty_mkgs_21st_may_2025,,,6.14
01_sales_index,avg_lkr_21st_may_2025,,,1153.35
01_sales_index,avg_usd_21st_may_2025,,,3.9
01_sales_index,avg_qty_mkgs_28th_may_2025,,,2025.0
01_sales_index,avg_lkr_28th_may_2025,,,2025.0
01_sales_index,avg_usd_28th_may_2025,,,2025.0
01_sales_index,avg_qty_mkgs_04th_june_2025,,,5.82
01_sales_index,avg_lkr_04th_june_2025,,,1126.43
01_sales_index,avg_usd_04th_june_2025,,,3.81
01_sales_index,avg_qty_mkgs_11th_june_2025,,,5.59
01_sales_index,avg_lkr_11th_june_2025,,,1134.64
01_sales_index,avg_usd_11th_june_2025,,,3.85
01_sales_index,avg_qty_mkgs_18th_june_2025,,,5.28
01_sales_index,avg_lkr_18th_june_2025,,,1104.01
01_sales_index,avg_usd_18th_june_2025,,,3.72
01_sales_index,avg_qty_mkgs_25th_june_2025,,,2025.0
01_sales_index,avg_lkr_25th_june_2025,,,2025.0
01_sales_index,avg_usd_25th_june_2025,,,2025.0
01_sales_index,avg_qty_mkgs_01st_july_2025,,,5.57
01_sales_index,avg_lkr_01st_july_2025,,,1107.48
01_sales_index,avg_usd_01st_july_2025,,,3.74
01_sales_index,avg_qty_mkgs_02nd_july_2025,,,5.57
01_sales_index,avg_lkr_02nd_july_2025,,,1107.48
01_sales_index,avg_usd_02nd_july_2025,,,3.74
01_sales_index,avg_qty_mkgs_08th_july_2025,,,5.24
01_sales_index,avg_lkr_08th_july_2025,,,1140.15
01_sales_index,avg_usd_08th_july_2025,,,3.85
01_sales_index,avg_qty_mkgs_16th_july_2025,,,5.41
01_sales_index,avg_lkr_16th_july_2025,,,1136.78
01_sales_index,avg_usd_16th_july_2025,,,3.82
01_sales_index,avg_qty_mkgs_23rd_july_2025,,,5.11
01_sales_index,avg_lkr_23rd_july_2025,,,1150.57
01_sales_index,avg_usd_23rd_july_2025,,,3.86
01_sales_index,avg_qty_mkgs_30th_july_2025,,,2025.0
01_sales_index,avg_lkr_30th_july_2025,,,2025.0
01_sales_index,avg_usd_30th_july_2025,,,2025.0
02_auction_offerings,sale_id,,,SALE_32_2025
02_auction_offerings,category,,,ex_estate
02_auction_offerings,qty_mkgs,,,0.73
02_auction_offerings,demand_label,,,good
02_auction_offerings,demand_score,,,5
02_auction_offerings,lots,,,770.0
02_auction_offerings,kgs,,,732392.0
03_quantity_sold,sale_id,,,SALE_32_2025
03_quantity_sold,sale_number,,,32
03_quantity_sold,sale_year,,,2025
03_quantity_sold,sale_month,,,August
03_quantity_sold,private_sales_weekly_2026,,,208939.0
03_quantity_sold,private_sales_weekly_2025,,,118848.0
03_quantity_sold,private_sales_todate_2026,,,6745148.0
03_quantity_sold,private_sales_todate_2025,,,3979051.0
03_quantity_sold,public_auction_weekly_2026,,,4962379.0
03_quantity_sold,public_auction_weekly_2025,,,5151886.0
03_quantity_sold,public_auction_todate_2026,,,156950187.0
03_quantity_sold,public_auction_todate_2025,,,148304008.0
03_quantity_sold,forward_contracts_weekly_2026,,,20000.0
03_quantity_sold,forward_contracts_weekly_2025,,,70480.0
03_quantity_sold,forward_contracts_todate_2026,,,1571231.0
03_quantity_sold,forward_contracts_todate_2025,,,1252810.0
03_quantity_sold,total_sold_weekly_2026,,,5191318.0
03_quantity_sold,total_sold_weekly_2025,,,5341214.0
03_quantity_sold,total_sold_todate_2026,,,165266566.0
03_quantity_sold,total_sold_todate_2025,,,153535869.0
03_quantity_sold,fx_usd_2026,,,297.5
03_quantity_sold,fx_usd_2025,,,295.08
03_quantity_sold,fx_usd_2024,,,313.99
03_quantity_sold,fx_gbp_2026,,,400.46
03_quantity_sold,fx_gbp_2025,,,375.51
03_quantity_sold,fx_gbp_2024,,,396.43
03_quantity_sold,fx_eur_2026,,,345.42
03_quantity_sold,fx_eur_2025,,,321.01
03_quantity_sold,fx_eur_2024,,,341.81
03_quantity_sold,fx_jpy_2026,,,2.0
03_quantity_sold,fx_jpy_2025,,,1.99
03_quantity_sold,fx_jpy_2024,,,2.15
03_quantity_sold,avg_qty_mkgs_27th_august_2025,,,2025.0
03_quantity_sold,avg_lkr_27th_august_2025,,,2025.0
03_quantity_sold,avg_usd_27th_august_2025,,,2025.0
03_quantity_sold,avg_qty_mkgs_29th_october_2025,,,2025.0
03_quantity_sold,avg_lkr_29th_october_2025,,,2025.0
03_quantity_sold,avg_usd_29th_october_2025,,,2025.0
03_quantity_sold,avg_qty_mkgs_30th_september_2025,,,2025.0
03_quantity_sold,avg_lkr_30th_september_2025,,,2025.0
03_quantity_sold,avg_usd_30th_september_2025,,,2025.0
03_quantity_sold,avg_qty_mkgs_26th_november_2025,,,2025.0
03_quantity_sold,avg_lkr_26th_november_2025,,,2025.0
03_quantity_sold,avg_usd_26th_november_2025,,,2025.0
03_quantity_sold,avg_qty_mkgs_29th_april_2025,,,2025.0
03_quantity_sold,avg_lkr_29th_april_2025,,,2025.0
03_quantity_sold,avg_usd_29th_april_2025,,,2025.0
03_quantity_sold,avg_qty_mkgs_07th_may_2025,,,5.7
03_quantity_sold,avg_lkr_07th_may_2025,,,1166.87
03_quantity_sold,avg_usd_07th_may_2025,,,3.95
03_quantity_sold,avg_qty_mkgs_14th_may_2025,,,4.26
03_quantity_sold,avg_lkr_14th_may_2025,,,1170.01
03_quantity_sold,avg_usd_14th_may_2025,,,3.97
03_quantity_sold,avg_qty_mkgs_21st_may_2025,,,6.14
03_quantity_sold,avg_lkr_21st_may_2025,,,1153.35
03_quantity_sold,avg_usd_21st_may_2025,,,3.9
03_quantity_sold,avg_qty_mkgs_28th_may_2025,,,2025.0
03_quantity_sold,avg_lkr_28th_may_2025,,,2025.0
03_quantity_sold,avg_usd_28th_may_2025,,,2025.0
03_quantity_sold,avg_qty_mkgs_04th_june_2025,,,5.82
03_quantity_sold,avg_lkr_04th_june_2025,,,1126.43
03_quantity_sold,avg_usd_04th_june_2025,,,3.81
03_quantity_sold,avg_qty_mkgs_11th_june_2025,,,5.59
03_quantity_sold,avg_lkr_11th_june_2025,,,1134.64
03_quantity_sold,avg_usd_11th_june_2025,,,3.85
03_quantity_sold,avg_qty_mkgs_18th_june_2025,,,5.28
03_quantity_sold,avg_lkr_18th_june_2025,,,1104.01
03_quantity_sold,avg_usd_18th_june_2025,,,3.72
03_quantity_sold,avg_qty_mkgs_25th_june_2025,,,2025.0
03_quantity_sold,avg_lkr_25th_june_2025,,,2025.0
03_quantity_sold,avg_usd_25th_june_2025,,,2025.0
03_quantity_sold,avg_qty_mkgs_01st_july_2025,,,5.57
03_quantity_sold,avg_lkr_01st_july_2025,,,1107.48
03_quantity_sold,avg_usd_01st_july_2025,,,3.74
03_quantity_sold,avg_qty_mkgs_02nd_july_2025,,,5.57
03_quantity_sold,avg_lkr_02nd_july_2025,,,1107.48
03_quantity_sold,avg_usd_02nd_july_2025,,,3.74
03_quantity_sold,avg_qty_mkgs_08th_july_2025,,,5.24
03_quantity_sold,avg_lkr_08th_july_2025,,,1140.15
03_quantity_sold,avg_usd_08th_july_2025,,,3.85
03_quantity_sold,avg_qty_mkgs_16th_july_2025,,,5.41
03_quantity_sold,avg_lkr_16th_july_2025,,,1136.78
03_quantity_sold,avg_usd_16th_july_2025,,,3.82
03_quantity_sold,avg_qty_mkgs_23rd_july_2025,,,5.11
