sale_id,estate,grade,fw_sold,price_lkr,region
UNKNOWN_Sale of 30 December 2025.pdf,Doombagastalawa,BOP,1,1440,WESTERN MEDIUM
UNKNOWN_Sale of 30 December 2025.pdf,Doombagastalawa,BOPSp,1,1180,WESTERN MEDIUM
UNKNOWN_Sale of 30 December 2025.pdf,Imboolpittia,BOPSp,1,960,WESTERN MEDIUM
UNKNOWN_Sale of 30 December 2025.pdf,Venture,OP1,0,1480,WESTERN MEDIUM
UNKNOWN_Sale of 30 December 2025.pdf,St Andrews,OP1,0,1480,WESTERN MEDIUM
UNKNOWN_Sale of 30 December 2025.pdf,Nayapane,BOP1,0,1700,NUWARA ELIYAS
UNKNOWN_Sale of 30 December 2025.pdf,Court Lodge,BOP,1,1040,NUWARA ELIYAS
UNKNOWN_Sale of 30 December 2025.pdf,Harangalla,BOP1,0,1700,NUWARA ELIYAS
UNKNOWN_Sale of 30 December 2025.pdf,Liddesdale,BOP,1,1140,UDAPUSSELLAWAS
UNKNOWN_Sale of 30 December 2025.pdf,High Forest,BOP,0,1140,UDAPUSSELLAWAS
UNKNOWN_Sale of 30 December 2025.pdf,Mooloya,BOP,0,1140,UDAPUSSELLAWAS
UNKNOWN_Sale of 30 December 2025.pdf,Kirklees,BOPSp,0,1000,UDAPUSSELLAWAS
UNKNOWN_Sale of 30 December 2025.pdf,Galgewatta,OP1,0,1800,UDAPUSSELLAWAS
UNKNOWN_Sale of 30 December 2025.pdf,Delmar,OP1,0,1420,UDAPUSSELLAWAS
UNKNOWN_Sale of 30 December 2025.pdf,New Laksakanda,BOP,0,2250,WESTERN HIGH
UNKNOWN_Sale of 30 December 2025.pdf,Inverness,BOP,0,1480,WESTERN HIGH
UNKNOWN_Sale of 30 December 2025.pdf,Elaine Super,BOPSp,0,2300,WESTERN HIGH
UNKNOWN_Sale of 30 December 2025.pdf,Norwood,BOP,1,1360,WESTERN HIGH
UNKNOWN_Sale of 30 December 2025.pdf,Bambrakelly,BOP,0,1360,WESTERN HIGH
UNKNOWN_Sale of 30 December 2025.pdf,Gouravilla,BOP,1,1260,WESTERN HIGH
UNKNOWN_Sale of 30 December 2025.pdf,Mulatiyana Hills,BOPFSp,0,1480,WESTERN HIGH
UNKNOWN_Sale of 30 December 2025.pdf,Holyrood,BOP,0,1260,WESTERN HIGH
UNKNOWN_Sale of 30 December 2025.pdf,Galatara,FBOP,0,2500,WESTERN HIGH
UNKNOWN_Sale of 30 December 2025.pdf,Wattegodde,BOP,0,1260,WESTERN HIGH
UNKNOWN_Sale of 30 December 2025.pdf,Kiruwanaganga,FBOP1,1,1950,WESTERN HIGH
UNKNOWN_Sale of 30 December 2025.pdf,Dessford,BOP,0,1260,WESTERN HIGH
UNKNOWN_Sale of 30 December 2025.pdf,Hedigalla,FBOPF,0,1950,WESTERN HIGH
UNKNOWN_Sale of 30 December 2025.pdf,Ingestre,BOPSp,0,1550,WESTERN HIGH
UNKNOWN_Sale of 30 December 2025.pdf,Norwood,BOPSp,1,1380,WESTERN HIGH
UNKNOWN_Sale of 30 December 2025.pdf,New Laksakanda,FBOPF,0,1850,WESTERN HIGH
UNKNOWN_Sale of 30 December 2025.pdf,Annfield,BOPSp,1,1340,WESTERN HIGH
UNKNOWN_Sale of 30 December 2025.pdf,Gunawardana,FBOPF,1,1800,WESTERN HIGH
UNKNOWN_Sale of 30 December 2025.pdf,Lumbini,FBOPF1,0,2000,WESTERN HIGH
UNKNOWN_Sale of 30 December 2025.pdf,Garden Leaf Super,FBOPF1,1,1800,WESTERN HIGH
UNKNOWN_Sale of 30 December 2025.pdf,Pothotuwa,BOP1,1,3000,WESTERN HIGH
UNKNOWN_Sale of 30 December 2025.pdf,Pothotuwa,OP1,1,3600,WESTERN HIGH
UNKNOWN_Sale of 30 December 2025.pdf,Makandura,OP1,0,3600,WESTERN HIGH
UNKNOWN_Sale of 30 December 2025.pdf,Lion,OP1,0,3600,WESTERN HIGH
UNKNOWN_Sale of 30 December 2025.pdf,Inverness,BOP1,0,2250,WESTERN HIGH
UNKNOWN_Sale of 30 December 2025.pdf,Miriswatta,OP,0,1750,WESTERN HIGH
UNKNOWN_Sale of 30 December 2025.pdf,Rotumba,OPA,0,2100,WESTERN HIGH
UNKNOWN_Sale of 30 December 2025.pdf,Liyonta,PEK,0,2700,WESTERN HIGH
UNKNOWN_Sale of 30 December 2025.pdf,New Laksakanda,PEK1,0,2400,WESTERN HIGH
UNKNOWN_Sale of 30 December 2025.pdf,Dickwella,BOP,1,1460,UNORTHODOX HIGH
UNKNOWN_Sale of 30 December 2025.pdf,Florence,CTCPF1,1,1140,UNORTHODOX HIGH
UNKNOWN_Sale of 30 December 2025.pdf,Hindagala,BOPSp,0,1380,UNORTHODOX HIGH
UNKNOWN_Sale of 30 December 2025.pdf,Uva Samovar,BOPSp,1,1240,UNORTHODOX MEDIUM
UNKNOWN_Sale of 30 December 2025.pdf,Duckwari,CTCPF1,1,1140,UNORTHODOX MEDIUM
UNKNOWN_Sale of 30 December 2025.pdf,Donside,CTCBP1,1,810,UNORTHODOX MEDIUM
UNKNOWN_Sale of 30 December 2025.pdf,Park Side,CTCBPS,0,500,UNORTHODOX MEDIUM
UNKNOWN_Sale of 30 December 2025.pdf,Aruna Passara,BOP1,0,1550,UNORTHODOX MEDIUM
UNKNOWN_Sale of 30 December 2025.pdf,Uva,BOP1,1,1500,UNORTHODOX LOW
UNKNOWN_Sale of 30 December 2025.pdf,Liyonta,CTCPF1,1,1400,UNORTHODOX LOW
UNKNOWN_Sale of 30 December 2025.pdf,Wewesse,OP1,0,1500,PREMIUM FLOWERY
UNKNOWN_Sale of 30 December 2025.pdf,Rasa,FBOPFSp,0,6200,PREMIUM FLOWERY
UNKNOWN_Sale of 30 December 2025.pdf,Sithaka,FBOPFExSp,0,6100,PREMIUM FLOWERY
UNKNOWN_Sale of 30 December 2025.pdf,Ceciliyan,FBOPFExSp,1,5050,UVA HIGH
UNKNOWN_Sale of 30 December 2025.pdf,Mount Uva,BOP,0,1300,UVA HIGH
UNKNOWN_Sale of 30 December 2025.pdf,Kings Bru,FBOPFExSp1,0,4550,UVA HIGH
UNKNOWN_Sale of 30 December 2025.pdf,Nayabedde,BOP,1,1220,UVA HIGH
UNKNOWN_Sale of 30 December 2025.pdf,Kelliebedde,BOP,1,1160,DUSTS
UNKNOWN_Sale of 30 December 2025.pdf,Great Western,DUST1,1,1700,DUSTS
UNKNOWN_Sale of 30 December 2025.pdf,Bandaraeliya,BOP,1,1160,DUSTS
UNKNOWN_Sale of 30 December 2025.pdf,Mattakelle,DUST1,0,1700,DUSTS
UNKNOWN_Sale of 30 December 2025.pdf,Aislaby,BOPSp,1,1460,DUSTS
