sale_id,auction_date,region,region_label,lat,lon,pdf_source,text_condition_score,text_crop_change,text_has_rain,text_has_mist,text_has_bright,text_has_thunder,text_keywords,text_raw_summary,temperature_2m_max_mean,temperature_2m_max_max,temperature_2m_max_min,temperature_2m_min_mean,temperature_2m_min_max,temperature_2m_min_min,temperature_2m_mean_mean,temperature_2m_mean_max,temperature_2m_mean_min,precipitation_sum_total,precipitation_sum_max_day,rain_sum_total,rain_sum_max_day,windspeed_10m_max_mean,windspeed_10m_max_max,windspeed_10m_max_min,sunshine_duration_total,sunshine_duration_max_day,et0_fao_evapotranspiration_total,et0_fao_evapotranspiration_max_day,relative_humidity_2m_max_mean,relative_humidity_2m_max_max,relative_humidity_2m_max_min,relative_humidity_2m_min_mean,relative_humidity_2m_min_max,relative_humidity_2m_min_min,fetch_start,fetch_end,precipitation_sum_total_lag1,precipitation_sum_total_lag2,precipitation_sum_total_lag3,rain_sum_total_lag1,rain_sum_total_lag2,rain_sum_total_lag3,temperature_2m_mean_mean_lag1,temperature_2m_mean_mean_lag2,temperature_2m_mean_mean_lag3,sunshine_duration_total_lag1,sunshine_duration_total_lag2,sunshine_duration_total_lag3,relative_humidity_2m_max_max_lag1,relative_humidity_2m_max_max_lag2,relative_humidity_2m_max_max_lag3,text_condition_score_lag1,text_condition_score_lag2,text_condition_score_lag3
SALE_01_2026,2026-01-06,low_grown,Low Grown (Matara / Galle belt),6.25,80.3,Sale of 6 & 7 January 2026.pdf,0,decrease,1,0,1,0,sunny|showers,"Low Grown
Uva/Udapussellawa Regions regions reported a decrease.
Both regions reported sunny mornings and evening showers
throughout the week. According to the Department of
Meteorology, showers are expected in the",29.76,31.4,27.3,21.97,22.6,21.0,25.03,25.7,24.4,16.5,5.1,16.5,5.1,12.49,21.0,8.0,233157.27,40437.73,24.01,4.17,98.43,100,97,63.0,76,54,2025-12-30,2026-01-05,,,,,,,,,,,,,,,,,,
SALE_02_2026,2026-01-12,low_grown,Low Grown (Matara / Galle belt),6.25,80.3,Sale of 12 & 13 January 2026.pdf,0,increase,0,0,0,0,,"Low Grown
Region reported a slight increase.",30.11,31.4,28.6,21.43,22.4,20.5,24.83,25.5,24.0,22.2,13.4,22.2,13.4,11.4,14.7,8.3,229204.5,40760.98,24.9,4.25,98.86,100,97,59.71,69,54,2026-01-05,2026-01-11,16.5,,,16.5,,,25.03,,,233157.27,,,100.0,,,0.0,,
SALE_03_2026,2026-01-20,low_grown,Low Grown (Matara / Galle belt),6.25,80.3,Sale of 20 & 21 January 2026_1769052416.pdf,0,decrease,0,0,0,0,,"Low Grown
regions in the week ahead according to the Department of regions reported a decrease.
Meteorology.",30.5,31.7,28.6,21.33,22.0,20.7,24.79,25.3,24.2,13.1,5.1,13.1,5.1,11.61,13.3,9.4,285462.33,42020.4,28.41,4.7,99.29,100,97,56.0,68,49,2026-01-13,2026-01-19,22.2,16.5,,22.2,16.5,,24.83,25.03,,229204.5,233157.27,,100.0,100.0,,0.0,0.0,
SALE_04_2026,2026-01-27,low_grown,Low Grown (Matara / Galle belt),6.25,80.3,Sale of 27 & 28 January 2026.pdf,-1,unknown,0,1,1,0,sunny|misty|mist,"Low Growns
Sunny weather conditions were recorded in the Low Grown
Region throughout the week. The Department of Meteorology
anticipates misty weather conditions in the Low Grown Region
in the week ahead.",30.84,32.2,28.4,20.5,22.4,19.5,24.81,25.7,23.9,10.6,5.9,10.6,5.9,10.89,13.3,7.5,290577.02,42111.1,31.04,4.81,98.57,100,96,49.0,63,41,2026-01-20,2026-01-26,13.1,22.2,16.5,13.1,22.2,16.5,24.79,24.83,25.03,285462.33,229204.5,233157.27,100.0,100.0,100.0,0.0,0.0,0.0
SALE_05_2026,2026-02-02,low_grown,Low Grown (Matara / Galle belt),6.25,80.3,Sale of 2 & 3 February 2026.pdf,0,unknown,0,0,0,0,,"Low Grown
Nuwara Eliya and",31.16,31.8,30.1,21.4,22.4,20.2,24.99,25.7,24.4,40.5,14.2,40.5,14.2,11.01,13.5,7.5,267568.92,42229.17,26.6,4.56,99.0,100,97,56.43,62,46,2026-01-26,2026-02-01,10.6,13.1,22.2,10.6,13.1,22.2,24.81,24.79,24.83,290577.02,285462.33,229204.5,100.0,100.0,100.0,-1.0,0.0,0.0
SALE_06_2026,2026-02-10,low_grown,Low Grown (Matara / Galle belt),6.25,80.3,Sale of 10 & 11 February 2026.pdf,0,increase,0,0,0,0,,"Low Grown Region showed an increase
in the crop intake.",30.6,31.3,29.8,21.71,22.3,21.0,24.74,25.6,24.2,53.6,21.0,53.6,21.0,8.29,11.5,6.4,223958.35,38678.19,23.62,3.78,99.86,100,99,60.71,67,56,2026-02-03,2026-02-09,40.5,10.6,13.1,40.5,10.6,13.1,24.99,24.81,24.79,267568.92,290577.02,285462.33,100.0,100.0,100.0,0.0,-1.0,0.0
SALE_07_2026,2026-02-17,low_grown,Low Grown (Matara / Galle belt),6.25,80.3,Sale of 17 & 18 February 2026.pdf,0,unknown,1,0,1,0,sunny|showers,"Low Growns
The Low Grown Region experienced sunny weather conditions
throughout the week. The Department of Meteorology expects
showers in the Low Grown Region in the week ahead.",30.53,31.2,28.3,21.84,22.5,20.5,24.87,25.4,23.7,44.6,12.7,44.6,12.7,9.41,11.5,7.0,178788.27,38906.04,22.48,4.1,99.0,100,97,57.29,73,47,2026-02-10,2026-02-16,53.6,40.5,10.6,53.6,40.5,10.6,24.74,24.99,24.81,223958.35,267568.92,290577.02,100.0,100.0,100.0,0.0,0.0,-1.0
SALE_08_2026,2026-02-24,low_grown,Low Grown (Matara / Galle belt),6.25,80.3,Sale of 24 & 25 February 2026_1772104697.pdf,0,decrease,0,0,0,0,,"Low Grown regions
week ahead according to the Department of Meteorology. reported a decrease during the week.",30.03,31.9,27.2,22.43,23.0,21.6,24.94,26.0,23.7,76.0,40.4,76.0,40.4,11.66,18.3,7.1,201455.61,42468.08,22.8,4.5,99.43,100,98,65.71,77,60,2026-02-17,2026-02-23,44.6,53.6,40.5,44.6,53.6,40.5,24.87,24.74,24.99,178788.27,223958.35,267568.92,100.0,100.0,100.0,0.0,0.0,0.0
SALE_09_2026,2026-03-03,low_grown,Low Grown (Matara / Galle belt),6.25,80.3,Sale of 3 & 4 March 2026.pdf,1,unknown,1,0,1,0,bright|dry|showers,"Low Growns
The Low Grown Region experienced bright mornings and
occasional evening showers throughout the week. The
Department of Meteorology expects dry weather conditions in
the Low Grown Region in the week ahead.",31.47,32.2,30.4,21.97,22.6,21.0,25.64,25.9,25.5,9.2,2.3,9.2,2.3,11.11,14.6,7.7,294222.01,42470.06,32.39,4.85,99.14,100,98,51.29,63,42,2026-02-24,2026-03-02,76.0,44.6,53.6,76.0,44.6,53.6,24.94,24.87,24.74,201455.61,178788.27,223958.35,100.0,100.0,100.0,0.0,0.0,0.0
SALE_10_2026,2026-03-10,low_grown,Low Grown (Matara / Galle belt),6.25,80.3,Sale of 10 & 11 March 2026.pdf,0,increase,0,0,0,0,,"Low Grown
Meteorology.
regions reported an increase.",31.57,33.3,30.3,21.44,22.5,19.6,25.71,26.4,24.9,7.8,2.9,7.8,2.9,12.97,15.8,11.1,295946.33,42466.56,33.01,5.06,97.71,100,96,49.43,58,35,2026-03-03,2026-03-09,9.2,76.0,44.6,9.2,76.0,44.6,25.64,24.94,24.87,294222.01,201455.61,178788.27,100.0,100.0,100.0,1.0,0.0,0.0
