sale_id,category,qty_mkgs,demand_label,demand_score,lots,kgs
UNKNOWN_Sale of 30 December 2025.pdf,ex_estate,0.76,easier,3,775.0,756978.0
UNKNOWN_Sale of 30 December 2025.pdf,high_medium,0.57,fair,3,1324.0,574804.0
UNKNOWN_Sale of 30 December 2025.pdf,leafy,0.6,fair,3,1574.0,602183.0
UNKNOWN_Sale of 30 December 2025.pdf,semi_leafy,0.46,fair,3,1144.0,464025.0
UNKNOWN_Sale of 30 December 2025.pdf,tippy,0.62,fair,3,1372.0,620735.0
UNKNOWN_Sale of 30 December 2025.pdf,premium_flowery,0.05,fair,3,402.0,51610.0
UNKNOWN_Sale of 30 December 2025.pdf,off_grade,0.75,irregular,3,1471.0,755715.0
UNKNOWN_Sale of 30 December 2025.pdf,dust,0.37,less,2,448.0,375366.0
UNKNOWN_Sale of 30 December 2025.pdf,total,4.2,bearish,3,,
SALE_25_2025,ex_estate,0.83,fair,3,826.0,831010.0
SALE_25_2025,high_medium,0.91,good,4,1954.0,907258.0
SALE_25_2025,leafy,0.88,good,4,2231.0,885942.0
SALE_25_2025,semi_leafy,0.67,good,4,1533.0,674676.0
SALE_25_2025,tippy,0.89,good,4,1916.0,895525.0
SALE_25_2025,premium_flowery,0.06,good,4,364.0,57364.0
SALE_25_2025,off_grade,1.51,fair,3,2805.0,1508514.0
SALE_25_2025,dust,0.62,fair,3,661.0,620474.0
SALE_25_2025,total,6.38,goodgeneral,3,,
SALE_39_2024,high_medium,0.74,good,4,1687.0,739630.0
SALE_39_2024,leafy,0.67,fair,3,1883.0,679013.0
SALE_39_2024,tippy,0.99,fair,3,2031.0,991681.0
SALE_39_2024,premium_flowery,0.06,less,2,384.0,58322.0
SALE_39_2024,off_grade,1.47,easier,3,2846.0,1468696.0
SALE_39_2024,dust,0.45,good,4,540.0,453362.0
SALE_39_2024,total,5.77,fair_general,3,,
SALE_34_2025,ex_estate,0.64,good,4,672.0,644791.0
SALE_34_2025,high_medium,0.57,good,4,1381.0,575134.0
SALE_34_2025,leafy,0.74,fair,3,1947.0,744017.0
