sale_id,auction_date,region,region_label,lat,lon,pdf_source,text_condition_score,text_crop_change,text_has_rain,text_has_mist,text_has_bright,text_has_thunder,text_keywords,text_raw_summary,temperature_2m_max_mean,temperature_2m_max_max,temperature_2m_max_min,temperature_2m_min_mean,temperature_2m_min_max,temperature_2m_min_min,temperature_2m_mean_mean,temperature_2m_mean_max,temperature_2m_mean_min,precipitation_sum_total,precipitation_sum_max_day,rain_sum_total,rain_sum_max_day,windspeed_10m_max_mean,windspeed_10m_max_max,windspeed_10m_max_min,sunshine_duration_total,sunshine_duration_max_day,et0_fao_evapotranspiration_total,et0_fao_evapotranspiration_max_day,relative_humidity_2m_max_mean,relative_humidity_2m_max_max,relative_humidity_2m_max_min,relative_humidity_2m_min_mean,relative_humidity_2m_min_max,relative_humidity_2m_min_min,fetch_start,fetch_end,precipitation_sum_total_lag1,precipitation_sum_total_lag2,precipitation_sum_total_lag3,rain_sum_total_lag1,rain_sum_total_lag2,rain_sum_total_lag3,temperature_2m_mean_mean_lag1,temperature_2m_mean_mean_lag2,temperature_2m_mean_mean_lag3,sunshine_duration_total_lag1,sunshine_duration_total_lag2,sunshine_duration_total_lag3,relative_humidity_2m_max_max_lag1,relative_humidity_2m_max_max_lag2,relative_humidity_2m_max_max_lag3,text_condition_score_lag1,text_condition_score_lag2,text_condition_score_lag3
SALE_01_2024,2024-01-04,low_grown,Low Grown (Matara / Galle belt),6.25,80.3,Sale of 4 & 5 January 2024.pdf,-5,decrease,1,1,0,0,showers|misty|mist|heavy,"Low Grown regions reported a decline
misty mornings in the Nuwara Eliya Region and misty morning
in the crop intake, whilst the Nuwara
together with heavy showers in the",29.31,30.5,27.4,22.83,23.6,22.3,25.27,25.7,24.6,101.3,36.0,101.3,36.0,11.31,21.7,7.8,163892.03,31318.3,19.89,3.37,97.86,100.0,94.0,75.14,86.0,69.0,2023-12-28,2024-01-03,,,,,,,,,,,,,,,,,,
SALE_01_2026,2026-01-06,low_grown,Low Grown (Matara / Galle belt),6.25,80.3,Sale of 6 & 7 January 2026.pdf,0,decrease,1,0,1,0,sunny|showers,"Low Grown
Uva/Udapussellawa Regions regions reported a decrease.
Both regions reported sunny mornings and evening showers
throughout the week. According to the Department of
Meteorology, showers are expected in the",29.76,31.4,27.3,21.97,22.6,21.0,25.03,25.7,24.4,16.5,5.1,16.5,5.1,12.49,21.0,8.0,233157.27,40437.73,24.01,4.17,98.43,100.0,97.0,63.0,76.0,54.0,2025-12-30,2026-01-05,101.3,,,101.3,,,25.27,,,163892.03,,,100.0,,,-5.0,,
SALE_02_2024,2024-01-10,low_grown,Low Grown (Matara / Galle belt),6.25,80.3,Sale of 10 & 11 January 2024.pdf,-3,unknown,1,0,0,0,showers|heavy,"Low Growns
The Low Grown Region reported overcast weather and showers
throughout the week. Heavy showers are expected in the
Sabaragamuwa Region in the week ahead according to the
Department of Meteorology.",29.43,30.6,27.0,22.49,23.1,21.9,25.1,25.5,24.5,99.1,25.7,99.1,25.7,9.89,14.1,7.0,158938.08,36650.01,20.42,3.77,98.86,100.0,98.0,72.71,83.0,67.0,2024-01-03,2024-01-09,16.5,101.3,,16.5,101.3,,25.03,25.27,,233157.27,163892.03,,100.0,100.0,,0.0,-5.0,
SALE_02_2026,2026-01-12,low_grown,Low Grown (Matara / Galle belt),6.25,80.3,Sale of 12 & 13 January 2026.pdf,0,increase,0,0,0,0,,"Low Grown
Region reported a slight increase.",30.11,31.4,28.6,21.43,22.4,20.5,24.83,25.5,24.0,22.2,13.4,22.2,13.4,11.4,14.7,8.3,229204.5,40760.98,24.9,4.25,98.86,100.0,97.0,59.71,69.0,54.0,2026-01-05,2026-01-11,99.1,16.5,101.3,99.1,16.5,101.3,25.1,25.03,25.27,158938.08,233157.27,163892.03,100.0,100.0,100.0,-3.0,0.0,-5.0
SALE_03_2024,2024-01-16,low_grown,Low Grown (Matara / Galle belt),6.25,80.3,Sale of 16 & 17 January 2024.pdf,1,unknown,0,0,1,0,bright,"Low Growns
Bright mornings and overcast evenings were reported in the Low
Grown Region throughout the week. According to the Department
of Meteorology, overcast morning are expected in the
Sabaragamuwa Region in the week ahead.",29.3,30.8,25.8,22.09,23.1,21.1,25.07,25.7,24.3,62.5,22.9,62.5,22.9,11.19,18.7,6.8,196306.08,41482.29,22.96,4.51,99.0,100.0,96.0,69.14,88.0,59.0,2024-01-09,2024-01-15,22.2,99.1,16.5,22.2,99.1,16.5,24.83,25.1,25.03,229204.5,158938.08,233157.27,100.0,100.0,100.0,0.0,-3.0,0.0
SALE_03_2026,2026-01-20,low_grown,Low Grown (Matara / Galle belt),6.25,80.3,Sale of 20 & 21 January 2026_1769052416.pdf,0,decrease,0,0,0,0,,"Low Grown
regions in the week ahead according to the Department of regions reported a decrease.
Meteorology.",30.5,31.7,28.6,21.33,22.0,20.7,24.79,25.3,24.2,13.1,5.1,13.1,5.1,11.61,13.3,9.4,285462.33,42020.4,28.41,4.7,99.29,100.0,97.0,56.0,68.0,49.0,2026-01-13,2026-01-19,62.5,22.2,99.1,62.5,22.2,99.1,25.07,24.83,25.1,196306.08,229204.5,158938.08,100.0,100.0,100.0,1.0,0.0,-3.0
SALE_04_2024,2024-01-22,low_grown,Low Grown (Matara / Galle belt),6.25,80.3,Sale of 22 & 23 January 2024.pdf,0,decrease,0,0,0,0,,"Low Grown
Region reported a decline.",30.1,31.2,29.2,21.11,22.6,18.1,25.01,26.2,23.8,17.2,6.5,17.2,6.5,11.04,13.7,8.4,275102.48,41912.98,27.35,4.39,98.14,100.0,94.0,64.14,71.0,57.0,2024-01-15,2024-01-21,13.1,62.5,22.2,13.1,62.5,22.2,24.79,25.07,24.83,285462.33,196306.08,229204.5,100.0,100.0,100.0,0.0,1.0,0.0
SALE_04_2026,2026-01-27,low_grown,Low Grown (Matara / Galle belt),6.25,80.3,Sale of 27 & 28 January 2026.pdf,-1,unknown,0,1,1,0,sunny|misty|mist,"Low Growns
Sunny weather conditions were recorded in the Low Grown
Region throughout the week. The Department of Meteorology
anticipates misty weather conditions in the Low Grown Region
in the week ahead.",30.84,32.2,28.4,20.5,22.4,19.5,24.81,25.7,23.9,10.6,5.9,10.6,5.9,10.89,13.3,7.5,290577.02,42111.1,31.04,4.81,98.57,100.0,96.0,49.0,63.0,41.0,2026-01-20,2026-01-26,17.2,13.1,62.5,17.2,13.1,62.5,25.01,24.79,25.07,275102.48,285462.33,196306.08,100.0,100.0,100.0,0.0,0.0,1.0
SALE_05_2024,2024-01-30,low_grown,Low Grown (Matara / Galle belt),6.25,80.3,Sale of 30 & 31 January 2024.pdf,0,unknown,1,0,0,0,clear|showers,"Low Growns
Clear weather was reported in the Low Grown Region
throughout the week. Windy conditions and showers are
expected in the Low Grown Region in the week ahead
according to the Department of Meteorology.",30.86,32.3,30.2,21.27,23.0,19.2,25.53,26.0,24.6,5.8,3.3,5.8,3.3,11.99,17.2,8.1,283240.56,42183.76,29.69,4.83,96.86,99.0,94.0,58.57,68.0,50.0,2024-01-23,2024-01-29,10.6,17.2,13.1,10.6,17.2,13.1,24.81,25.01,24.79,290577.02,275102.48,285462.33,100.0,100.0,100.0,-1.0,0.0,0.0
SALE_05_2026,2026-02-02,low_grown,Low Grown (Matara / Galle belt),6.25,80.3,Sale of 2 & 3 February 2026.pdf,0,unknown,0,0,0,0,,"Low Grown
Nuwara Eliya and",31.16,31.8,30.1,21.4,22.4,20.2,24.99,25.7,24.4,40.5,14.2,40.5,14.2,11.01,13.5,7.5,267568.92,42229.17,26.6,4.56,99.0,100.0,97.0,56.43,62.0,46.0,2026-01-26,2026-02-01,5.8,10.6,17.2,5.8,10.6,17.2,25.53,24.81,25.01,283240.56,290577.02,275102.48,99.0,100.0,100.0,0.0,-1.0,0.0
