Segment,Fold,Model,RMSE,MAE,MAPE,R2,n_train,n_test
High Grown,1,XGBoost,248.8979582516347,153.9096417094386,23.954397673555157,0.20392396450459416,86,86
High Grown,1,LightGBM,228.88156486044986,153.5824056768822,22.62594159098979,0.32681642591653015,86,86
High Grown,1,Gradient Boosting,241.83449063865228,158.63954213098074,23.71085335132193,0.2484664673589736,86,86
High Grown,1,Random Forest,226.48160558411507,144.58604651162793,22.064681762591928,0.3408598708923871,86,86
High Grown,2,XGBoost,190.54476973943534,124.03490146370821,15.106119091426109,0.3610039051355721,172,86
High Grown,2,LightGBM,200.2649996548975,141.83732311323374,16.432473948320848,0.2941470277606919,172,86
High Grown,2,Gradient Boosting,196.73796499638095,132.34129245469046,15.653706798895817,0.31879082441375284,172,86
High Grown,2,Random Forest,188.0711159063052,132.9945736434109,15.52607732697355,0.37748711905200205,172,86
High Grown,3,XGBoost,232.4360141625044,164.9328393270803,19.020231124086607,0.1310543229086446,258,86
High Grown,3,LightGBM,225.77450438980102,163.13940636690185,18.772230129621402,0.1801477682752598,258,86
High Grown,3,Gradient Boosting,245.15098034592884,171.9520324027431,19.537543948977103,0.033386054245692964,258,86
High Grown,3,Random Forest,223.85545265230988,157.30426356589146,18.230571991280634,0.1940257947054761,258,86
High Grown,4,XGBoost,215.6474196727257,159.95017402116642,16.956935678538276,0.21495699937462498,344,86
High Grown,4,LightGBM,207.97627266782797,158.08489113787076,16.63315107569352,0.26981569289348395,344,86
High Grown,4,Gradient Boosting,231.02521117255603,165.24283936090433,17.420792032111425,0.09900233460047247,344,86
High Grown,4,Random Forest,218.2081796082191,153.57577519379848,16.16727783609824,0.19620191652058128,344,86
High Grown,5,XGBoost,282.8554565908233,211.69015077103015,24.33742997034084,0.24571935079887786,430,86
High Grown,5,LightGBM,287.0822663448645,210.3792140298843,24.761525881268977,0.2230079486312323,430,86
High Grown,5,Gradient Boosting,277.4920715930696,212.64332999401387,24.676203843307118,0.2740528541628031,430,86
High Grown,5,Random Forest,267.2245579413035,194.75736434108524,22.62371748420397,0.32678066817857065,430,86
Low Grown,1,XGBoost,462.92517686768264,213.86976432800293,10.474859206206574,0.6243512288498007,228,224
Low Grown,1,LightGBM,496.54387681582546,257.6187219792846,14.17371511271953,0.5678090868525774,228,224
Low Grown,1,Gradient Boosting,382.21164982393145,187.47098362621472,9.921227546264836,0.7439243931387755,228,224
Low Grown,1,Random Forest,412.56051493644304,209.53749999999997,10.93804998810772,0.7016433713702224,228,224
Low Grown,2,XGBoost,422.0476681125538,203.18365097045898,9.149701491215119,0.7316904794326526,452,224
Low Grown,2,LightGBM,357.9159954656736,206.13558431667778,11.159513804853702,0.8070364463839951,452,224
Low Grown,2,Gradient Boosting,297.65561280974214,148.32454051735812,7.751056288825578,0.8665430406414925,452,224
Low Grown,2,Random Forest,293.2201453636387,151.8912946428571,7.487323028063564,0.8704907815478026,452,224
Low Grown,3,XGBoost,288.5058109305696,154.07445008414132,8.589951446460633,0.871105753677645,676,224
Low Grown,3,LightGBM,215.35039745734835,125.93633845771478,7.52115003823786,0.92818490209181,676,224
Low Grown,3,Gradient Boosting,246.11330315221758,135.46213050497585,8.035091396186141,0.9062017836296697,676,224
Low Grown,3,Random Forest,219.93283863710462,122.98389136904764,7.216586185465311,0.9250960775281585,676,224
Low Grown,4,XGBoost,206.48228178975458,123.7294227055141,8.235140640578873,0.9185572526075897,900,224
Low Grown,4,LightGBM,197.88317423996762,128.41988561331183,8.96099015243485,0.9251994880025293,900,224
Low Grown,4,Gradient Boosting,243.7471984761396,152.02208886850426,9.926885015104839,0.8865077778036756,900,224
Low Grown,4,Random Forest,208.71410100012565,140.22924107142856,9.83169146411711,0.9167871460672591,900,224
Low Grown,5,XGBoost,393.5020178761701,171.5191764831543,10.028694394519423,0.6790149380674251,1124,224
Low Grown,5,LightGBM,452.6221967596616,198.69851256785935,11.986692676243191,0.5753192357118511,1124,224
Low Grown,5,Gradient Boosting,232.95453065912753,145.61113469415073,9.228041658099674,0.8875050008615313,1124,224
Low Grown,5,Random Forest,294.3124174961017,154.31515376984126,9.61360749906728,0.8204406328185826,1124,224
Off-Grade,1,XGBoost,180.9591745734636,130.1169360057417,21.155319475951924,-0.07387204146061777,84,83
