Segment,Model,RMSE_mean,RMSE_std,MAE_mean,MAE_std,MAPE_mean,MAPE_std,R2_mean,R2_std
High Grown,Random Forest,224.76818233845057,28.26668111299594,156.64360465116278,23.27642638688397,18.922465280229666,3.285499109879241,0.2870710738698034,0.08596478279478503
High Grown,LightGBM,229.9959215835682,34.08337413364815,165.40464806495456,26.34675485528693,19.845064525178906,3.708706162990563,0.2587869726954396,0.058017746646631584
High Grown,XGBoost,234.07632368342465,34.772100761996136,162.90354145848474,31.561983005720965,19.875022707589398,4.139526571729063,0.23133170854446275,0.0838104295748904
High Grown,Gradient Boosting,238.44814374931758,29.050226353700616,168.16380726866652,29.04855779152291,20.199819994922677,3.91133349249444,0.194739706956339,0.12223590466211538
Low Grown,Gradient Boosting,280.5364589842317,62.1155236420285,153.77817564224074,19.812933616676325,8.972460380896212,1.0303999072382184,0.8581363992150288,0.06536968910866439
Low Grown,Random Forest,285.74800348668276,81.357933245989,155.7914161706349,32.498256887968964,9.017451632964198,1.6040181006331855,0.846891601866405,0.091316688808973
Low Grown,LightGBM,344.06312814769535,135.24320499700877,183.36180858696966,56.08976746285264,10.760412356897827,2.600212574448434,0.7607098318085526,0.17946536706623706
Low Grown,XGBoost,354.69259111534615,105.00494783944215,173.27529291425432,36.63662974410791,9.295669435796125,0.9449708926144008,0.7649439305270226,0.12562173073855454
Off-Grade,XGBoost,145.1081543916179,25.1306109562032,106.93637401167169,15.952099061736616,15.411683410240466,3.450198112029228,0.28319690113844953,0.2274698300552113
Off-Grade,Random Forest,145.79760471489504,26.74225903181173,109.43779116465862,16.72243256223132,15.724042095585759,3.8444290234706653,0.27373626020829833,0.2548505557052787
Off-Grade,LightGBM,153.5380550803522,17.779464459410605,117.11185771224527,15.489490910317178,16.337393350559935,3.4075244560891766,0.20225197299526015,0.17448400623271149
Off-Grade,Gradient Boosting,161.71558767784396,29.79209714865581,117.93069661659817,14.068489655795132,16.904400614689866,3.7982991749916386,0.10623528742275583,0.30931795584678057
Dust,Random Forest,157.99889739382996,14.694474285698838,109.91739463601532,10.656366058263503,12.911488382916165,1.4110805929246624,0.41510207209275746,0.15327131731459706
Dust,XGBoost,158.51715176289235,23.741730575656984,111.547998046875,14.898273735297531,13.23779509318688,2.112162168975956,0.4034415374917857,0.21493486029316855
Dust,LightGBM,162.06045763567144,20.97489781296261,117.5539589075969,16.539518385495153,13.943675500067894,2.205185001745979,0.38339812242344246,0.18399929540099186
Dust,Gradient Boosting,170.36881265619857,32.52504938616853,120.86561938825125,19.731670923984964,14.19746558421006,2.4624493167396215,0.29225146700715354,0.3588926659669703
