params,mean_test_score,std_test_score,rank_test_score,Segment,Model,mean_test_RMSE
"{'model__learning_rate': 0.03, 'model__max_depth': 3, 'model__n_estimators': 200, 'model__subsample': 0.8}",-232.72595016499,41.33561296239457,1,high_grown,XGBoost,232.72595016499
"{'model__learning_rate': 0.03, 'model__max_depth': 3, 'model__n_estimators': 200, 'model__subsample': 1.0}",-237.4978150371307,43.91138767393516,9,high_grown,XGBoost,237.4978150371307
"{'model__learning_rate': 0.03, 'model__max_depth': 3, 'model__n_estimators': 400, 'model__subsample': 0.8}",-233.95022017646457,41.604311621253125,2,high_grown,XGBoost,233.95022017646457
"{'model__learning_rate': 0.03, 'model__max_depth': 3, 'model__n_estimators': 400, 'model__subsample': 1.0}",-241.8358192646013,45.47000706366975,28,high_grown,XGBoost,241.8358192646013
"{'model__learning_rate': 0.03, 'model__max_depth': 5, 'model__n_estimators': 200, 'model__subsample': 0.8}",-237.44064731772005,39.57660274905596,8,high_grown,XGBoost,237.44064731772005
"{'model__learning_rate': 0.03, 'model__max_depth': 5, 'model__n_estimators': 200, 'model__subsample': 1.0}",-237.97419563110515,41.68073062046972,11,high_grown,XGBoost,237.97419563110515
"{'model__learning_rate': 0.03, 'model__max_depth': 5, 'model__n_estimators': 400, 'model__subsample': 0.8}",-238.04973730016758,39.60702442052838,12,high_grown,XGBoost,238.04973730016758
"{'model__learning_rate': 0.03, 'model__max_depth': 5, 'model__n_estimators': 400, 'model__subsample': 1.0}",-239.25867712404116,41.341101878959414,20,high_grown,XGBoost,239.25867712404116
"{'model__learning_rate': 0.03, 'model__max_depth': 7, 'model__n_estimators': 200, 'model__subsample': 0.8}",-236.99105818529546,42.982880723299914,6,high_grown,XGBoost,236.99105818529546
"{'model__learning_rate': 0.03, 'model__max_depth': 7, 'model__n_estimators': 200, 'model__subsample': 1.0}",-242.35160680158998,45.575492229498984,29,high_grown,XGBoost,242.35160680158998
"{'model__learning_rate': 0.03, 'model__max_depth': 7, 'model__n_estimators': 400, 'model__subsample': 0.8}",-237.24659330136888,43.12738313335903,7,high_grown,XGBoost,237.24659330136888
"{'model__learning_rate': 0.03, 'model__max_depth': 7, 'model__n_estimators': 400, 'model__subsample': 1.0}",-242.70426058700588,45.662739717191975,30,high_grown,XGBoost,242.70426058700588
"{'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 200, 'model__subsample': 0.8}",-234.2872892124501,42.664003362767,3,high_grown,XGBoost,234.2872892124501
"{'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 200, 'model__subsample': 1.0}",-236.2087991815175,40.60919370687847,4,high_grown,XGBoost,236.2087991815175
"{'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 400, 'model__subsample': 0.8}",-236.77532600187055,41.98548827463488,5,high_grown,XGBoost,236.77532600187055
"{'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 400, 'model__subsample': 1.0}",-240.30747001199825,40.7237190356592,25,high_grown,XGBoost,240.30747001199825
"{'model__learning_rate': 0.05, 'model__max_depth': 5, 'model__n_estimators': 200, 'model__subsample': 0.8}",-238.2725833916439,38.41038379756904,13,high_grown,XGBoost,238.2725833916439
"{'model__learning_rate': 0.05, 'model__max_depth': 5, 'model__n_estimators': 200, 'model__subsample': 1.0}",-237.52065209677426,40.70010593238172,10,high_grown,XGBoost,237.52065209677426
