fold,segment,n_test,rmse_unified,mae_unified,mape_unified,r2_unified,rmse_segment,mae_segment,mape_segment,r2_segment
1,dust,83,174.21833837633238,135.36629940886004,15.14792784821443,0.08664961333532206,176.76084759357397,136.19160228638108,15.544989098108294,0.05979656579189918
1,high_grown,60,290.9842665753751,198.39825665881617,28.9268033946836,-0.02712632551131544,289.49437309646464,200.84944191414647,28.889209252837915,-0.016635097929072806
1,low_grown,238,584.5411176618023,345.1313670714927,18.693269664690007,0.3350472686292517,585.5798686072945,349.0824433551372,18.958023332774193,0.3326818781541274
1,off_grade,100,170.1836779389147,144.84018971647222,19.98319322334404,-0.015317383016618003,169.65764877732232,144.4293632273976,19.861610454277926,-0.009050493724940933
2,dust,89,178.23769541240037,136.40666432556452,15.163107154027719,0.1331808379187326,177.65563794112686,136.6198746719884,15.052371747940848,0.13883300651851027
2,high_grown,104,241.460679973463,169.1619615041492,21.14241334672862,-0.038268385853108544,243.36039530615244,169.94613340374787,21.35505307291782,-0.054670008287153404
2,low_grown,208,673.5750209924873,367.70691124890084,18.840764546478646,0.3198898152469617,672.911392318581,370.5762650275407,19.077650335193884,0.3212292897464891
2,off_grade,80,175.45037128474087,149.61928549653217,19.521164247151532,0.006932816071225312,174.6510796201636,149.58075894549907,19.5869161869592,0.015960352344663087
3,dust,94,234.99788722449736,185.59906809758692,23.218602192228502,0.03603585326570691,235.31753366166842,186.22980429417285,23.256135837119242,0.033411682743382354
3,high_grown,105,253.65888748910785,199.62148905929158,21.301467286907723,-0.0392446406345377,252.2858014651134,198.61170904394706,21.224654099819226,-0.028023980326104425
3,low_grown,208,696.6016434083687,399.23617121020624,20.24313083845006,0.32142370348103266,696.813765914247,395.1759873917496,19.91090664389802,0.3210103733615076
3,off_grade,74,167.85674805894106,148.13685004129857,19.046263911959134,-0.022710118120315093,168.30438644203772,148.44594632610256,19.062499632141595,-0.028172093792955044
4,dust,78,222.9918918658956,175.34146686719086,21.08944756789947,0.011402459621820737,222.0385830641306,174.33922887987194,20.97957478830463,0.01983706436874233
4,high_grown,83,253.6777421068095,196.3102983466496,21.773025397614717,-0.08131717997281407,254.4976489957719,196.92353858081208,21.945790507102167,-0.08831828417415943
4,low_grown,242,592.7346577922177,423.7502692544936,26.533540527076628,0.31833112425918386,592.3019126693949,423.95405496544834,26.544353341192846,0.31932610977045717
4,off_grade,78,171.76117445715616,152.99403829702533,21.711141187013034,-0.05097105412777836,170.94192323601644,152.03078726296386,21.466210245855756,-0.040969306768574354
5,dust,97,186.19274571565504,147.67861662647528,16.072150409184985,0.10453881037343482,186.0516458990664,147.75809566245485,16.046483053901362,0.10589548551498829
5,high_grown,68,317.50160276692367,255.2903804706132,27.148347545698588,-0.022000753171477205,317.4951051777729,254.51759081516525,27.21794112945274,-0.021958923631093974
5,low_grown,222,522.1305845255102,352.24933973084643,21.39621129319463,0.36022210187288506,521.3471608722123,351.72629484300535,21.38285368478898,0.3621405534285431
5,off_grade,94,179.1920098661398,166.4666368200761,23.907739175106272,-0.01153778290816354,179.61598318712657,166.8935728022364,23.960043137749434,-0.016330099114584717
