Segment,Model,RMSE_mean,R2_mean,RMSE_rank_in_segment,R2_rank_in_segment,RMSE_cv_pct,R2_cv_pct
dust,XGBoost,155.88683618656992,0.427293738763859,1.0,1.0,13.153963191197606,41.81200141295257
dust,Random Forest,158.30027940364613,0.4130530962768648,2.0,2.0,9.565950973333353,37.31372139520538
dust,LightGBM,161.1378606303222,0.3913086319486485,3.0,3.0,12.935037384934848,45.05881887373856
dust,Gradient Boosting,166.3600196956592,0.3513060933989226,4.0,4.0,13.031427369011244,52.78380551826665
high_grown,Random Forest,225.0651428890792,0.2867372804974778,1.0,1.0,12.95424136400139,25.62678734757776
high_grown,LightGBM,227.73708502437145,0.273653190177369,2.0,2.0,14.624263128219342,16.760352815318406
high_grown,Gradient Boosting,232.3842977696526,0.2447280204513874,3.0,3.0,15.076869516310056,19.897133615574404
high_grown,XGBoost,232.7533306526512,0.2402281554904484,4.0,4.0,14.013150324962428,24.08479401015344
low_grown,Gradient Boosting,263.3409889850749,0.8760380578378765,1.0,1.0,20.63544734076531,5.739338881783526
low_grown,Random Forest,283.19215850968993,0.849648886581377,2.0,2.0,28.52940418844796,10.554433933822994
low_grown,LightGBM,331.8206264454297,0.7718138173943236,3.0,3.0,42.26287199554686,24.15499748909181
low_grown,XGBoost,408.8128178960245,0.6593934385582205,4.0,4.0,38.3549807084442,43.103871841027
off_grade,Random Forest,145.1117642884247,0.2840875020620704,1.0,1.0,15.976909156923144,75.27251843468501
off_grade,XGBoost,147.054874764079,0.2623325723710554,2.0,2.0,17.91749241188916,95.24164740377194
off_grade,LightGBM,150.4188816961835,0.2329370593019654,3.0,3.0,12.201734674863108,76.86614992460011
off_grade,Gradient Boosting,156.53361199856874,0.1555965566134328,4.0,4.0,22.10022546556127,224.0866581404968
