fold,segment,n_test,rmse_unified,mae_unified,mape_unified,r2_unified,rmse_segment,mae_segment,mape_segment,r2_segment
1,dust,83,153.86604751955386,116.96759607569471,13.010830753173433,0.2850337245561152,170.12635264034984,125.14204448747375,13.681794622090168,0.1259361807052325
1,high_grown,60,254.3927556087971,175.26217136393694,25.48279275953622,0.21495541040604793,254.27217742696584,171.90564988425928,25.378427522804902,0.2156994317170513
1,low_grown,256,304.21563063706384,186.47305465191832,11.778876687883347,0.8138070801017268,282.25243290042954,178.481864152151,11.31086467479336,0.8397214141521493
1,off_grade,82,173.20371233773042,130.1108691004118,19.25635598206862,0.01325072492902446,170.70218233498596,126.349216693283,18.681108280589346,0.041547553229126954
2,dust,84,148.0255866202404,102.5307220652198,12.50324757662829,0.4631701577754913,144.67698603411353,95.32167436482175,11.691776260399713,0.4871835191716418
2,high_grown,104,199.63437273353537,143.41109449144602,17.182215605423814,0.2902793675766503,197.48143458900435,142.00944398917056,16.844397575742867,0.30550465566074914
2,low_grown,210,292.47346870848577,160.65261933750776,8.626268782587733,0.8708705584065397,295.5463860650915,165.65704287065444,8.806167295232568,0.8681428672715942
2,off_grade,83,146.0625907701226,104.08759307250645,14.052610536827364,0.2747592167357087,144.69312345351852,102.9832265316678,13.948781866592228,0.28829502361949444
3,dust,92,172.83389745311976,126.1632774219289,15.208831776519965,0.4504454125132866,166.82551781161732,122.56840486581653,14.62021765685292,0.48799057723432493
3,high_grown,92,239.5326797884084,178.2438035390786,20.378991158610127,0.14630911590287254,234.71342039043031,173.50796898037052,19.768999564589866,0.18031508601328572
3,low_grown,208,190.13268539289672,110.72674115814743,6.13442364453151,0.9494474275825616,219.45395371820686,123.74162217556753,6.821351422871574,0.9326532697901115
3,off_grade,89,127.51666973869146,94.88768613603939,12.214154132119907,0.4057556652722458,129.85086594424504,97.10177532751261,12.52978562721723,0.3838012310867235
4,dust,83,150.14207895086054,103.14599585613517,13.127130453725073,0.5408600768344665,155.85755135670396,103.3500258555868,13.123356384452304,0.5052384917101569
4,high_grown,96,241.77478526227412,185.6312476607594,19.132271176463153,-0.04728338882718952,255.46208928735487,197.50694148516416,20.328955666745262,-0.1692170024284454
4,low_grown,224,194.36112067789688,128.69526218820855,9.504052438310447,0.9256523652930404,201.50096971235408,135.57785247846783,9.68634521188437,0.9200897207360533
4,off_grade,78,141.36984705773767,114.32394220362974,16.31166283505157,0.2880420742516586,141.5800365046862,113.81716082528582,16.24796247975163,0.2859234146782067
5,dust,79,126.42082871329566,91.7907774569839,9.614193885684447,0.5820393671529367,131.1020212728782,91.11611422201214,9.464237764027867,0.5505132570185665
5,high_grown,68,319.86472707578974,257.80825624742914,27.347842151037877,-0.03727061322634628,313.70178097552025,254.33588461426237,27.02956178196589,0.002315234767430341
5,low_grown,240,309.6638144581362,182.90913874984966,12.20195575379512,0.7818322516431446,297.52672084806767,181.61009872433704,12.116174944973764,0.7985990185189142
5,off_grade,94,130.47757366463566,103.73257415530686,15.430278996875973,0.46368916387542425,134.63849252374723,108.12579218764392,15.951547509308057,0.4289379386055292
