fold,segment,n_test,rmse_unified,mae_unified,mape_unified,r2_unified,rmse_segment,mae_segment,mape_segment,r2_segment
1,dust,83,174.21833837633238,135.36629940886004,15.14792784821443,0.08664961333532206,176.76084759357397,136.19160228638108,15.544989098108298,0.05979656579189918
1,high_grown,60,290.9842665753751,198.39825665881617,28.9268033946836,-0.02712632551131544,289.4943730964646,200.84944191414658,28.889209252837905,-0.01663509792907214
1,low_grown,238,584.5411176618023,345.1313670714927,18.693269664690007,0.3350472686292516,585.5798686072945,349.0824433551371,18.958023332774193,0.33268187815412753
1,off_grade,100,170.18367793891468,144.84018971647222,19.983193223344042,-0.015317383016618003,169.65764877732232,144.4293632273976,19.861610454277926,-0.009050493724940711
2,dust,89,178.23769541240034,136.40666432556446,15.163107154027719,0.1331808379187328,177.65563794112686,136.6198746719884,15.052371747940848,0.13883300651851027
2,high_grown,104,241.46067997346302,169.1619615041492,21.14241334672862,-0.038268385853108766,243.36039530615247,169.94613340374787,21.35505307291782,-0.054670008287153626
2,low_grown,208,673.5750209924873,367.706911248901,18.840764546478646,0.3198898152469617,672.911392318581,370.5762650275407,19.07765033519389,0.3212292897464891
2,off_grade,80,175.45037128474087,149.61928549653217,19.521164247151532,0.006932816071225534,174.65107962016359,149.58075894549907,19.5869161869592,0.01596035234466331
3,dust,94,234.9978872244974,185.59906809758692,23.218602192228506,0.036035853265706685,235.3175336616684,186.22980429417285,23.256135837119242,0.033411682743382576
3,high_grown,105,253.65888748910788,199.62148905929163,21.301467286907723,-0.03924464063453792,252.2858014651134,198.61170904394712,21.22465409981923,-0.028023980326104425
3,low_grown,208,696.6016434083687,399.23617121020624,20.243130838450067,0.3214237034810328,696.813765914247,395.1759873917497,19.910906643898024,0.3210103733615076
3,off_grade,74,167.85674805894106,148.13685004129857,19.046263911959137,-0.022710118120315315,168.30438644203772,148.44594632610256,19.062499632141595,-0.028172093792954822
4,dust,78,222.99189186589564,175.34146686719086,21.08944756789947,0.011402459621820515,222.03858306413056,174.33922887987197,20.97957478830463,0.019837064368742552
4,high_grown,83,253.6777421068095,196.3102983466496,21.773025397614713,-0.08131717997281407,254.49764899577187,196.92353858081205,21.945790507102167,-0.08831828417415921
4,low_grown,242,592.7346577922177,423.7502692544937,26.53354052707663,0.31833112425918386,592.3019126693949,423.9540549654484,26.544353341192846,0.31932610977045706
4,off_grade,78,171.76117445715616,152.99403829702533,21.711141187013027,-0.05097105412777858,170.9419232360164,152.03078726296383,21.46621024585575,-0.04096930676857413
5,dust,97,186.19274571565504,147.6786166264753,16.072150409184985,0.10453881037343482,186.0516458990664,147.75809566245485,16.046483053901362,0.1058954855149884
5,high_grown,68,317.50160276692367,255.29038047061326,27.148347545698588,-0.022000753171477205,317.49510517777287,254.51759081516528,27.217941129452733,-0.02195892363109353
5,low_grown,222,522.1305845255102,352.24933973084643,21.396211293194618,0.36022210187288506,521.3471608722123,351.7262948430053,21.382853684788977,0.3621405534285431
5,off_grade,94,179.1920098661398,166.4666368200761,23.907739175106272,-0.01153778290816354,179.61598318712657,166.8935728022364,23.960043137749434,-0.01633009911458494
