Catalogue,Method,Kind,RMSE,MAE,MAPE,R2,N_OOF
High Grown,Naive Persistence,baseline,250.44,169.93,14.48,-0.2411,1765
High Grown,AR(1),baseline,226.05,164.58,14.26,-0.0112,1765
High Grown,XGBoost,ml,170.76,100.75,8.38,0.423,1765
High Grown,LightGBM,ml,163.99,99.23,8.3,0.4679,1765
High Grown,Gradient Boosting,ml,171.51,102.6,8.52,0.4179,1765
High Grown,Random Forest,ml,177.23,103.12,8.57,0.3784,1765
Low Grown,Naive Persistence,baseline,79.76,34.8,1.91,0.9896,4440
Low Grown,AR(1),baseline,114.37,61.46,3.56,0.9785,4440
Low Grown,XGBoost,ml,153.09,77.9,4.15,0.9616,4440
Low Grown,LightGBM,ml,147.74,76.21,4.17,0.9642,4440
Low Grown,Gradient Boosting,ml,149.24,76.48,4.19,0.9635,4440
Low Grown,Random Forest,ml,152.0,77.32,4.21,0.9621,4440
Off-Grade,Naive Persistence,baseline,188.39,140.64,16.76,-0.6636,1760
Off-Grade,AR(1),baseline,145.24,122.14,15.07,0.0112,1760
Off-Grade,XGBoost,ml,103.47,80.25,9.98,0.4982,1760
Off-Grade,LightGBM,ml,102.46,77.82,9.58,0.5079,1760
Off-Grade,Gradient Boosting,ml,107.33,82.17,10.18,0.46,1760
Off-Grade,Random Forest,ml,104.74,81.22,10.12,0.4857,1760
Dust,Naive Persistence,baseline,241.29,187.78,18.9,-0.6214,1805
Dust,AR(1),baseline,194.3,153.57,15.53,-0.0513,1805
Dust,XGBoost,ml,115.58,76.38,7.45,0.628,1805
Dust,LightGBM,ml,116.75,77.97,7.65,0.6204,1805
Dust,Gradient Boosting,ml,119.87,85.08,8.38,0.5999,1805
Dust,Random Forest,ml,116.18,75.37,7.36,0.6241,1805
Pooled (Unified),Naive Persistence,baseline,176.98,106.44,9.98,0.9217,9780
Pooled (Unified),AR(1),baseline,215.46,142.09,13.43,0.884,9780
Pooled (Unified),XGBoost,ml,142.76,83.01,6.73,0.9491,9780
Pooled (Unified),LightGBM,ml,138.16,83.31,6.89,0.9523,9780
Pooled (Unified),Gradient Boosting,ml,141.36,89.72,7.5,0.9501,9780
Pooled (Unified),Random Forest,ml,144.96,83.09,6.74,0.9475,9780
