catalogue,model,fold,rmse
High Grown,XGBoost,1,142.0638378193787
High Grown,LightGBM,1,137.18180784707715
High Grown,Gradient Boosting,1,135.54732997445885
High Grown,Random Forest,1,135.92616466131216
High Grown,XGBoost,2,132.2801394011474
High Grown,LightGBM,2,133.94236017116475
High Grown,Gradient Boosting,2,135.12146797050085
High Grown,Random Forest,2,132.61715800180104
High Grown,XGBoost,3,115.34087486452327
High Grown,LightGBM,3,109.70851297371712
High Grown,Gradient Boosting,3,115.96197495856484
High Grown,Random Forest,3,121.62271384546159
High Grown,XGBoost,4,232.1182191298888
High Grown,LightGBM,4,236.0079238486797
High Grown,Gradient Boosting,4,243.42562002465718
High Grown,Random Forest,4,237.176282665153
High Grown,XGBoost,5,193.68527385262172
High Grown,LightGBM,5,173.0938046407104
High Grown,Gradient Boosting,5,194.26272412590995
High Grown,Random Forest,5,223.4867297515433
Low Grown,XGBoost,1,193.02808277248997
Low Grown,LightGBM,1,187.39858720996668
Low Grown,Gradient Boosting,1,202.47911551271665
Low Grown,Random Forest,1,202.1415038749807
Low Grown,XGBoost,2,172.70583816370203
Low Grown,LightGBM,2,167.77694153383413
Low Grown,Gradient Boosting,2,167.86910992525472
Low Grown,Random Forest,2,178.26808465940596
Low Grown,XGBoost,3,116.5818179046579
Low Grown,LightGBM,3,131.66195467687535
Low Grown,Gradient Boosting,3,121.67742700791895
Low Grown,Random Forest,3,118.53920403348799
Low Grown,XGBoost,4,146.5253801828998
Low Grown,LightGBM,4,126.99873762479275
Low Grown,Gradient Boosting,4,116.873443462155
Low Grown,Random Forest,4,117.25699294666776
Low Grown,XGBoost,5,116.4337076287627
Low Grown,LightGBM,5,111.40367938715463
Low Grown,Gradient Boosting,5,117.15632239506404
Low Grown,Random Forest,5,122.8225169542763
Off-Grade,XGBoost,1,106.68595976690466
Off-Grade,LightGBM,1,107.76204545984314
Off-Grade,Gradient Boosting,1,106.3876125961154
Off-Grade,Random Forest,1,107.06137867100165
Off-Grade,XGBoost,2,75.9209357560332
Off-Grade,LightGBM,2,73.66723484361317
Off-Grade,Gradient Boosting,2,83.41072633803631
Off-Grade,Random Forest,2,74.67695499012545
Off-Grade,XGBoost,3,100.18187335324455
Off-Grade,LightGBM,3,107.62941751520964
Off-Grade,Gradient Boosting,3,104.43708246979578
Off-Grade,Random Forest,3,103.27783884256662
Off-Grade,XGBoost,4,103.22976577133433
Off-Grade,LightGBM,4,98.30914177856444
Off-Grade,Gradient Boosting,4,99.85657826060468
Off-Grade,Random Forest,4,107.9047324482213
Off-Grade,XGBoost,5,124.83466987212515
Off-Grade,LightGBM,5,119.15913135186155
Off-Grade,Gradient Boosting,5,135.82192490095824
Off-Grade,Random Forest,5,124.53508717552518
Dust,XGBoost,1,182.31235598164275
Dust,LightGBM,1,175.59637365707246
Dust,Gradient Boosting,1,168.7385863270227
Dust,Random Forest,1,185.2475834782152
Dust,XGBoost,2,66.4263178172388
Dust,LightGBM,2,72.48090950390589
Dust,Gradient Boosting,2,71.50523155612217
Dust,Random Forest,2,63.93963003379133
Dust,XGBoost,3,103.98672963524832
Dust,LightGBM,3,112.94581562345003
Dust,Gradient Boosting,3,119.23546137845835
Dust,Random Forest,3,105.03722041429279
Dust,XGBoost,4,86.59409291259502
Dust,LightGBM,4,91.8761120059511
Dust,Gradient Boosting,4,106.98295915880716
Dust,Random Forest,4,78.72152883932617
Dust,XGBoost,5,102.91793900119652
Dust,LightGBM,5,104.22502561967536
Dust,Gradient Boosting,5,112.21209372022751
Dust,Random Forest,5,108.86606850532772
