block,method,kind,rmse,mae,mape,r2,n_oof
high_grown,Naive Persistence,baseline,250.43862371705325,169.92917847025495,14.478849999977704,-0.24111056074647075,1765
high_grown,AR(1),baseline,209.11430898698075,148.83412896899938,12.787013053462019,0.1346827598750583,1765
high_grown,XGBoost,ml,170.1368355742627,100.50934290899434,8.37038740447762,0.42719795986837505,1765
high_grown,LightGBM,ml,167.01674504912353,101.64070807442135,8.487246411117791,0.44801422568971927,1765
high_grown,Gradient Boosting,ml,171.50633100571355,102.59765055296539,8.521875806866372,0.4179394481510922,1765
high_grown,Random Forest,ml,177.23104964596004,103.1228045325779,8.567212241425283,0.3784336807710089,1765
low_grown,Naive Persistence,baseline,79.75507976140295,34.796171171171174,1.911014495484455,0.9895669555908617,4440
low_grown,AR(1),baseline,80.91264202313455,38.89498476303439,2.208614905243177,0.9892619081795342,4440
low_grown,XGBoost,ml,152.31156291359403,77.51635426014393,4.149432423509061,0.9619495236753236,4440
low_grown,LightGBM,ml,145.43290395371233,74.87387061080199,4.10524575236406,0.9653087698092849,4440
low_grown,Gradient Boosting,ml,149.2168910613069,76.4967099282678,4.198595339891746,0.9634800374913595,4440
low_grown,Random Forest,ml,151.97294915778008,77.30021396396397,4.212768815456161,0.9621185205966586,4440
off_grade,Naive Persistence,baseline,188.38978270403288,140.64204545454547,16.75908354299393,-0.6635726209024815,1760
off_grade,AR(1),baseline,145.0619895213278,121.4396275493581,14.903006581565299,0.013642541855353407,1760
off_grade,XGBoost,ml,103.83448819503133,80.60352942726828,9.995862456332109,0.49462898836622715,1760
off_grade,LightGBM,ml,102.14679939374481,77.37034186036674,9.538808318867476,0.5109237199521386,1760
off_grade,Gradient Boosting,ml,107.33285525193173,82.17139227452306,10.180962136376479,0.46000164249478503,1760
off_grade,Random Forest,ml,104.74494510768706,81.21886174242425,10.123428330777728,0.4857275958000361,1760
dust,Naive Persistence,baseline,241.29107949021085,187.77839335180056,18.897060972442816,-0.6213664011237277,1805
dust,AR(1),baseline,189.31255627648994,145.1659986998556,14.762074057930366,0.0019381029266718475,1805
dust,XGBoost,ml,114.81749962982173,76.35746951961781,7.456437336368325,0.6328742841014756,1805
dust,LightGBM,ml,117.47858371376292,78.1248079213692,7.642945651533177,0.6156595974801198,1805
dust,Gradient Boosting,ml,119.86635176989637,85.07524952733469,8.37794037991199,0.5998772811709606,1805
dust,Random Forest,ml,116.17801953927837,75.37388734995383,7.363769867267527,0.6241222884462161,1805
__pooled__,Naive Persistence,baseline,176.97772322930194,106.44069529652351,9.982986494704353,0.9217376860900275,9780
__pooled__,AR(1),baseline,175.3339390434504,108.67603550912584,10.16619703611866,0.923184748606865,9780
__pooled__,XGBoost,ml,142.18124751794707,83.05020219611731,6.741662540728538,0.9494873541262584,9780
__pooled__,LightGBM,ml,139.17143988728995,83.51982012269234,6.880310470548594,0.9516033035528035,9780
__pooled__,Gradient Boosting,ml,141.26620713932803,89.69481793498318,7.509836807735459,0.9501354336455134,9780
__pooled__,Random Forest,ml,144.9734361576706,83.08714076346284,6.742246852856303,0.9474839150660069,9780
