Catalogue,Weather_variable,Best_lag_1_to_3,Best_raw_p_1_to_3,Best_F_1_to_3,FDR_p_1_to_3,Best_lag_4_to_8,Best_raw_p_4_to_8,Best_F_4_to_8,FDR_p_4_to_8
High Grown,Precipitation,1.0,0.1717960448254448,1.8991001559191163,0.3853803167705924,,,,
High Grown,Temperature,1.0,0.1936323506749352,1.71650375149733,0.4201543753504652,5.0,0.7464074171261104,0.5385818830840182,0.8260242082862288
High Grown,Sunshine,,,,,,,,
Low Grown,Precipitation,2.0,0.014689990274445362,4.413777390894323,0.18980372432995168,4.0,0.07159831925977567,2.234302309920218,0.2490825596891113
Low Grown,Temperature,1.0,0.26001361592440736,1.2833480255603051,0.48769694549403064,5.0,0.5636049428845337,0.7844836402257428,0.7796535043236049
Low Grown,Sunshine,1.0,0.019850550651126536,5.60715031892193,0.18980372432995168,4.0,0.03658866975035213,2.6813888538218067,0.18980372432995168
Off-Grade,Precipitation,1.0,0.4483290536829571,0.5794251600481017,0.6644877045658115,8.0,0.5876902588951284,0.8195323025575083,0.7939899069095055
Off-Grade,Temperature,1.0,0.015220816134308797,6.096742943906257,0.18980372432995168,8.0,0.04844127514351711,2.0701810428740393,0.23023859815127926
Off-Grade,Sunshine,1.0,0.11103812243898097,2.5849293916879934,0.3291487200869793,8.0,0.15682851717143514,1.5402708803663068,0.3719076264351176
Dust,Precipitation,3.0,0.4957100435338553,0.8022008155021775,0.7093781657467239,8.0,0.34791739718388276,1.1375001188489535,0.627763999266571
Dust,Temperature,3.0,0.016665692869193074,3.582842271823855,0.18980372432995168,4.0,0.00031001547557677557,5.842781642461914,0.02573128447287237
Dust,Sunshine,3.0,0.052709318231507846,2.659033914645131,0.2302564954323764,8.0,0.04993126224967502,2.0585035928184663,0.23023859815127926
