catalogue,model,feature_set,fold,rmse,mae,mape,r2,n_test
High Grown,LightGBM,Full features,1,138.13171135847233,104.86415048074221,9.149843737938374,0.5938198185309564,353
High Grown,LightGBM,Full features,2,135.72216168938348,79.61833638084116,6.468495632322963,0.6639206127516986,353
High Grown,LightGBM,Full features,3,111.90539012624811,88.78007966116571,8.214173206102252,0.5906279973382838,353
High Grown,LightGBM,Full features,4,238.05730550785725,106.8344173936564,8.010391021270797,0.27438981571912546,353
High Grown,LightGBM,Full features,5,181.04693792658045,128.10655645570134,10.59332845795457,0.14066677734890898,353
High Grown,LightGBM,No lagged weather,1,143.11103457696765,108.2431392467757,9.353506851849572,0.5640083347663354,353
High Grown,LightGBM,No lagged weather,2,134.44031019045914,76.59136936289204,6.147783494336486,0.6702389539870979,353
High Grown,LightGBM,No lagged weather,3,110.84118140886049,89.1187945694075,8.19676651418101,0.5983771455361323,353
High Grown,LightGBM,No lagged weather,4,236.7474623762368,107.34143348167598,7.997519216995555,0.28235277877551346,353
High Grown,LightGBM,No lagged weather,5,185.53784778045897,135.0488227628662,11.295314723257166,0.09750612416117521,353
High Grown,LightGBM,No explicit weather,1,141.7115346832324,107.76293751359157,9.338025212737795,0.5724938694688769,353
High Grown,LightGBM,No explicit weather,2,137.2186541198897,78.88593849797368,6.34890515403074,0.6564684325145727,353
High Grown,LightGBM,No explicit weather,3,112.29867742108635,89.9862948912475,8.342207016461769,0.5877454959149662,353
High Grown,LightGBM,No explicit weather,4,232.21680228353685,106.22415620828502,7.938233331532217,0.30955733048599354,353
High Grown,LightGBM,No explicit weather,5,156.67681781402933,112.79136637988931,9.476136864263484,0.356440480210654,353
Low Grown,LightGBM,Full features,1,187.65524128266378,103.0487902526287,5.348285039766934,0.9606650465087716,888
Low Grown,LightGBM,Full features,2,165.00642116374175,76.53333831441715,4.027310833961996,0.9554980224888439,888
Low Grown,LightGBM,Full features,3,124.00686736106279,72.36737857207365,4.458864325989105,0.9672355135997162,888
Low Grown,LightGBM,Full features,4,126.40921674449791,62.68465321705182,3.2278320498636957,0.9707584282980614,888
Low Grown,LightGBM,Full features,5,109.33913263450572,59.7351926978386,3.463936512238567,0.9762583195515605,888
Low Grown,LightGBM,No lagged weather,1,189.6793668987646,101.69528566036196,5.172265606421141,0.9598119044676359,888
Low Grown,LightGBM,No lagged weather,2,179.6902268222755,81.59422654584695,4.281776686657968,0.9472252075742515,888
Low Grown,LightGBM,No lagged weather,3,128.55011085654203,75.31341931283889,4.5468746753464675,0.9647907477094542,888
Low Grown,LightGBM,No lagged weather,4,128.1434862238933,63.782292782081846,3.276972849627363,0.9699505656566461,888
Low Grown,LightGBM,No lagged weather,5,109.48446104289924,61.741980636667996,3.718189618417912,0.9761951649688629,888
Low Grown,LightGBM,No explicit weather,1,188.89149956092842,102.81174073312985,5.264116540372209,0.9601450680542609,888
Low Grown,LightGBM,No explicit weather,2,174.25515172246654,78.60395643266504,4.106238384530179,0.9503694745587197,888
Low Grown,LightGBM,No explicit weather,3,129.37838263302072,74.72720346701222,4.508779479789979,0.9643355667615648,888
Low Grown,LightGBM,No explicit weather,4,129.13909678932475,67.29847015807715,3.5567072765461045,0.9694818136768978,888
Low Grown,LightGBM,No explicit weather,5,113.50661578360788,65.64785545307046,3.9938979983615273,0.9744139904808891,888
Off-Grade,LightGBM,Full features,1,108.08033349389382,79.97364789545547,9.211058264829042,0.5079028233448888,352
Off-Grade,LightGBM,Full features,2,72.7780804557055,54.52295527717374,6.473705604248623,0.7038880354191273,352
Off-Grade,LightGBM,Full features,3,107.54929669762535,82.45586039157901,9.391347623852521,0.2361386847494178,352
Off-Grade,LightGBM,Full features,4,95.62083474015068,75.96040601138317,9.418558473487575,0.520062569758268,352
Off-Grade,LightGBM,Full features,5,120.33968751997085,93.93883972624222,13.199371627919612,0.4770979111600432,352
Off-Grade,LightGBM,No lagged weather,1,112.22206533813191,86.37592201291196,10.270149819625406,0.4694650054913716,352
Off-Grade,LightGBM,No lagged weather,2,79.40378515638024,60.45210188535855,7.355843927542166,0.6475178138266173,352
