catalogue,model,feature_set,rmse_oof,mae_oof,mape_oof,r2_oof,n_oof,feature_count,fold_rmse_mean,fold_rmse_std
High Grown,LightGBM,Full features,167.01674504912353,101.64070807442135,8.487246411117791,0.44801422568971927,1765,31,160.97270132170834,49.77929484228365
High Grown,LightGBM,No lagged weather,168.11566650285823,103.26871188472347,8.598178160123958,0.4407265181162139,1765,22,162.1355672665966,49.68570155033507
High Grown,LightGBM,No explicit weather,161.2416692759027,99.1301386981974,8.288701515805203,0.48552719211115214,1765,20,156.02449726435492,45.48670361057285
Low Grown,LightGBM,Full features,145.43290395371233,74.87387061080199,4.10524575236406,0.9653087698092849,4440,31,142.4833758372944,32.58099834293816
Low Grown,LightGBM,No lagged weather,150.46565795240684,76.82544098755953,4.19921588729417,0.9628662229421578,4440,22,147.1095303688749,35.33235588132637
Low Grown,LightGBM,No explicit weather,149.89615108276965,77.81784524879095,4.2859479359199995,0.9631467908715502,4440,20,147.03414929786965,32.592465572588274
Off-Grade,LightGBM,Full features,102.14679939374481,77.37034186036674,9.538808318867476,0.5109237199521386,1760,31,100.87364658146925,17.97484533114212
Off-Grade,LightGBM,No lagged weather,104.33366709657874,80.50799377615569,10.053873645164629,0.4897582187477163,1760,22,103.31158639680135,16.28765659924593
Off-Grade,LightGBM,No explicit weather,105.06812858979501,80.32874253199527,10.019765328301496,0.48254919416288966,1760,20,103.95331504055476,17.06677830760944
Dust,XGBoost,Full features,114.81749962982173,76.35746951961781,7.456437336368325,0.6328742841014756,1805,31,108.13393489997438,43.15828924280092
Dust,XGBoost,No lagged weather,119.59652178125286,77.01192620190227,7.478494478602987,0.6016766783742247,1805,22,112.332185255599,45.89128699812572
Dust,XGBoost,No explicit weather,116.15793930935027,74.867936862935,7.337926830357058,0.6242522107607628,1805,20,108.30496636361151,46.94013641825722
