sale_id,sale_number,sale_year,sale_month,private_sales_weekly_2026,private_sales_weekly_2025,private_sales_todate_2026,private_sales_todate_2025,public_auction_weekly_2026,public_auction_weekly_2025,public_auction_todate_2026,public_auction_todate_2025,forward_contracts_weekly_2026,forward_contracts_weekly_2025,forward_contracts_todate_2026,forward_contracts_todate_2025,total_sold_weekly_2026,total_sold_weekly_2025,total_sold_todate_2026,total_sold_todate_2025,fx_usd_2026,fx_usd_2025,fx_usd_2024,fx_gbp_2026,fx_gbp_2025,fx_gbp_2024,fx_eur_2026,fx_eur_2025,fx_eur_2024,fx_jpy_2026,fx_jpy_2025,fx_jpy_2024
SALE_06_2026,6,2026,February,167226,245835,1119831,1177536,4898035,5185038,24012876,25587189,41600,50070,191600,339970,5106861,5480943,25324307,27104695,305.76,292.79,308.56,417.26,360.2,387.69,362.86,299.73,330.69,1.95,1.91,2.07
SALE_10_2026,10,2026,March,196032,305419,2297136,2052407,4063437,4624724,42324532,44598576,34000,62820,370560,614336,4293469,4992963,44621668,47265319,307.18,291.25,306.06,411.75,374.66,386.49,355.81,313.87,330.31,1.93,1.96,2.02
SALE_02_2026,2,2026,January,174966,77364,174966,77364,4751955,5287479,4751955,5287479,22000,15000,22000,15000,4948921,5379843,4948921,5379843,305.53,290.74,291.32,408.91,352.54,363.13,354.82,297.76,300.65,1.92,1.83,1.83
SALE_07_2026,7,2026,February,336885,185706,1456717,1363242,4779486,4765046,28792362,30352236,26000,68446,217600,408416,5142371,5019198,30466679,32123894,305.67,291.28,308.85,413.1,365.55,388.13,360.73,303.05,330.64,1.98,1.9,2.05
SALE_05_2026,5,2026,February,344946,202993,952605,931701,4709425,5529222,19115718,20402151,40200,14720,150000,289900,5094571,5746935,20218323,21623752,305.58,295.51,315.5,417.07,366.85,399.75,361.28,304.98,342.29,1.96,1.91,2.12
SALE_03_2026,3,2026,January,188040,154281,363006,467425,4465515,3596046,9214550,8883525,42000,70720,64000,182760,4695555,3821047,9641556,9533710,305.95,292.83,317.35,409.54,358.4,400.88,355.14,302.31,344.85,1.92,1.87,2.16
SALE_08_2026,8,2026,February,269852,167044,1726569,1530286,4797184,4857288,33589546,35209524,46000,69480,263600,477896,5113036,5093812,35579715,37217706,305.69,291.43,308.58,411.22,366.6,388.13,358.91,303.36,330.64,1.96,1.93,2.05
SALE_04_2026,4,2026,January,244652,261282,607658,728708,5191743,5989404,14406293,14872929,45800,92420,109800,275180,5482195,6343106,15123751,15876817,305.83,294.18,317.35,417.42,364.6,400.88,362.28,305.15,344.85,1.97,1.88,2.16
SALE_09_2026,9,2026,March,374534,216701,2101103,1746988,4670360,4764328,38259906,39973852,72960,73620,336560,551516,5117854,5054649,40697569,42272356,305.7,290.99,306.06,408.78,367.9,386.49,356.46,303.26,330.31,1.93,1.94,2.02
SALE_01_2026,1,2026,January,277579,161148,10853408,6685057,3509490,4865410,242834413,239352323,82000,116760,2440939,2693516,3869069,5143318,256128760,248730896,306.23,291.32,321.94,413.65,363.13,407,358,300.65,349.48,1.95,1.83,2.25
