table,column,description,data_type,example_value
01_sales_index,sale_id,Primary key: SALE_{number}_{year},text,SALE_06_2026
01_sales_index,sale_number,Auction sale number within the year,integer,6
01_sales_index,sale_date_raw,Date string as printed in PDF header,text,10TH/11TH February 2026
01_sales_index,sale_year,Calendar year of the sale,integer,2026
01_sales_index,sale_month,Month name of the sale,text,February
01_sales_index,source_file,PDF filename this row was extracted from,text,Sale of 10 & 11 February 2026.pdf
01_sales_index,extracted_at,ISO timestamp of extraction run,datetime,2026-03-17T21:11:09
01_sales_index,total_lots,Total lots offered across all categories,integer,12252
01_sales_index,total_kgs,Total kg offered across all categories,integer,5949847
01_sales_index,reprint_lots,Number of re-print lots,integer,2604
01_sales_index,reprint_quantity,Re-print quantity in kg,integer,1265688
01_sales_index,settlement_10pct,10% payment date (DD/MM/YYYY),date,13/02/2026
01_sales_index,settlement_buyers,Buyers' prompt date (DD/MM/YYYY),date,17/02/2026
01_sales_index,settlement_sellers,Sellers' prompt date (DD/MM/YYYY),date,18/02/2026
01_sales_index,commentary,Full market commentary text (up to 1500 chars),text,"AuctionNo.6concludedtodayhadonofferatotalof5.9M/Kgsvis-à-visa6.1M/Kgsonofferthepreviousweek.Therewasfairgeneral demand.LowGrown/Leafyteasmetwithmixeddemand.HighGrownliquoringBOP/BOPF's-SeasonalWesternswitnessedimproved widespreaddemand,whilsttheotherswereasusual. Ex-Estateofferingsdroppedmarginallyandtotalledof0.7M/Kgs.QualityofWesternswereselectivelyimprovedandhadonofferafew seasonalinvoices. IntheBestWesterncategory,selectBOPinvoicesgainedsubstantiallybyRs.100perkgandmore,whilsttheotherswereirregularfollowing quality.CorrespondingBOPF'scontinuedtosellwellalthoughpricestendedtofluctuatefollowingquality.IntheBelowBestcategory, BOP/BOPF'swhereimprovedgainedbyRs.20-40perkg,whilsttheothersweregenerallyfirm.Atthelowerendofthemarket,BOP/BOPF's oftensoldaroundlastweek'slevels.NuwaraEliyas-Followingtheseasonalimprovement,BOP'sappreciatedsubstantially,whilsttheBOPF's werefirmandtendeddearerforthelimitednumberofinvoicesonoffer.UdaPussellawaBOP'sweremostlyeasier,whilstthecorresponding BOPF'sgainedbyuptoRs.50perkg.Uva-BetterBOP/BOPF'swereRs.20-40perkgdearer,whilsttheotherssoldaroundlastweek'slevels. CTCteas-ThelimitedavailabilityofBP1'swereoftenreadilyabsorbed,whilstthePF1'smetwithlessdemandandwereoftenRs.20-40per kgeasier,particularlyforteasinthehigherpricebracket. LiquoringteasmetwithimprovedactivityfromJapan.SelectivebuyingfromshipperstotheUK,thecontinentandSouthAfrica,whilst shipperstotheCISandMiddleEastcontinuedtoparticipateasusual. LowGrownstotalledapproximately2.7M/Kgswithallcate"
01_sales_index,sentiment_overall,Rule-based sentiment of full commentary: −1 (bearish) to +1 (bullish),float,0.3778
01_sales_index,sentiment_ex_estate,Sentiment score for Ex-Estate commentary segment,float,0.3778
01_sales_index,sentiment_low_grown,Sentiment score for Low Grown commentary segment,float,0.0
01_sales_index,western_nuwara_eliya_weather_desc,Raw weather text for Western/Nuwara Eliya region,text,"The Nuwara Eliya Region experienced dull weather conditions,"
01_sales_index,western_nuwara_eliya_weather_score,Weather severity 1=sunny … 5=heavy rain,integer,3
01_sales_index,uva_udapussellawa_weather_desc,Raw weather text for Uva/Udapussellawa region,text,The Uva and Udapussellawa regions reported rain throughout the week. The Department of Meteorology expects misty conditions in both regions in the week ahead.
01_sales_index,uva_udapussellawa_weather_score,Weather severity 1=sunny … 5=heavy rain,integer,4
01_sales_index,low_grown_weather_desc,Raw weather text for Low Grown region,text,Region showed an increase in the
01_sales_index,low_grown_weather_score,Weather severity 1=sunny … 5=heavy rain,integer,3
01_sales_index,crop_notes,Crop intake summary text,text,"AND WEATHER FOR THE PERIOD 04 - 09 February 2026 Crop Western/Nuwara Eliya Regions The Nuwara Eliya Region experienced dull weather conditions, Crop intake in the Nuwara Eliya and while the Western Region reported bright weather and Western regions were maintained occasional showers throughout the w"
01_sales_index,avg_weather_severity,Mean of the three regional weather scores,float,3.33
01_sales_index,crop_nuwara_eliya_trend,Crop intake trend: +1 increase / 0 maintained / -1 decrease,integer,-1
01_sales_index,crop_western_trend,Crop intake trend for Western region,integer,-1
01_sales_index,crop_uva_trend,Crop intake trend for Uva region,integer,-1
01_sales_index,crop_low_grown_trend,Crop intake trend for Low Grown region,integer,-1
01_sales_index,private_sales_weekly_2026,Private sales volume this week 2026 (kgs),integer,167226
01_sales_index,private_sales_weekly_2025,Private sales volume this week 2025 (kgs),integer,245835
01_sales_index,private_sales_todate_2026,,,1119831
01_sales_index,private_sales_todate_2025,,,1177536
01_sales_index,public_auction_weekly_2026,Public auction volume sold this week 2026 (kgs),integer,4898035
01_sales_index,public_auction_weekly_2025,Public auction volume sold this week 2025 (kgs),integer,5185038
01_sales_index,public_auction_todate_2026,Public auction year-to-date volume 2026 (kgs),integer,24012876
01_sales_index,public_auction_todate_2025,Public auction year-to-date volume 2025 (kgs),integer,25587189
01_sales_index,forward_contracts_weekly_2026,Forward contract volume this week 2026 (kgs),integer,41600
01_sales_index,forward_contracts_weekly_2025,,,50070
01_sales_index,forward_contracts_todate_2026,Forward contract year-to-date volume 2026 (kgs),integer,191600
01_sales_index,forward_contracts_todate_2025,,,339970
01_sales_index,total_sold_weekly_2026,Total all-channel volume sold this week 2026 (kgs),integer,5106861
01_sales_index,total_sold_weekly_2025,Total all-channel volume sold this week 2025 (kgs),integer,5480943
01_sales_index,total_sold_todate_2026,,,25324307
01_sales_index,total_sold_todate_2025,,,27104695
01_sales_index,fx_usd_2026,LKR per USD (current year),float,305.76
01_sales_index,fx_usd_2025,LKR per USD (prior year),float,292.79
01_sales_index,fx_usd_2024,LKR per USD (two years prior),float,308.56
01_sales_index,fx_gbp_2026,LKR per GBP (current year),float,417.26
01_sales_index,fx_gbp_2025,,,360.2
01_sales_index,fx_gbp_2024,,,387.69
01_sales_index,fx_eur_2026,LKR per EUR (current year),float,362.86
01_sales_index,fx_eur_2025,,,299.73
01_sales_index,fx_eur_2024,,,330.69
01_sales_index,fx_jpy_2026,LKR per JPY (current year),float,1.95
01_sales_index,fx_jpy_2025,,,1.91
01_sales_index,fx_jpy_2024,,,2.07
01_sales_index,sl_production_mkgs,Sri Lanka monthly tea production (M/Kgs),float,21.37
01_sales_index,sl_production_yoy_variance,Year-on-year production variance M/Kgs (negative = decline),float,-0.78
01_sales_index,gross_lkr_weekly_uva_high_2026,,,1017.57
01_sales_index,gross_lkr_weekly_uva_high_2025,,,1063.68
01_sales_index,gross_lkr_todate_uva_high_2026,,,1030.09
01_sales_index,gross_lkr_todate_uva_high_2025,,,1051.14
01_sales_index,gross_lkr_weekly_western_high_2026,,,1214.42
01_sales_index,gross_lkr_weekly_western_high_2025,,,1160.74
01_sales_index,gross_lkr_todate_western_high_2026,,,1195.15
01_sales_index,gross_lkr_todate_western_high_2025,,,1150.25
01_sales_index,gross_lkr_weekly_ctc_high_2026,,,1161.42
01_sales_index,gross_lkr_weekly_ctc_high_2025,,,1125.3
01_sales_index,gross_lkr_todate_ctc_high_2026,,,1130.11
01_sales_index,gross_lkr_todate_ctc_high_2025,,,1098.15
01_sales_index,gross_lkr_weekly_high_summary_2026,,,1160.73
01_sales_index,gross_lkr_weekly_high_summary_2025,,,1129.37
01_sales_index,gross_lkr_todate_high_summary_2026,,,1142.26
01_sales_index,gross_lkr_todate_high_summary_2025,,,1116.37
01_sales_index,gross_lkr_weekly_uva_medium_2026,,,936.44
01_sales_index,gross_lkr_weekly_uva_medium_2025,,,1073.99
01_sales_index,gross_lkr_todate_uva_medium_2026,,,958.57
01_sales_index,gross_lkr_todate_uva_medium_2025,,,1069.24
01_sales_index,gross_lkr_weekly_western_medium_2026,,,989.2
01_sales_index,gross_lkr_weekly_western_medium_2025,,,1070.32
01_sales_index,gross_lkr_todate_western_medium_2026,,,990.22
01_sales_index,gross_lkr_todate_western_medium_2025,,,1028.0
01_sales_index,gross_lkr_weekly_ctc_medium_2026,,,1036.78
01_sales_index,gross_lkr_weekly_ctc_medium_2025,,,1022.1
01_sales_index,gross_lkr_todate_ctc_medium_2026,,,1013.39
01_sales_index,gross_lkr_todate_ctc_medium_2025,,,966.57
01_sales_index,gross_lkr_weekly_medium_summary_2026,,,973.46
01_sales_index,gross_lkr_weekly_medium_summary_2025,,,1071.55
01_sales_index,gross_lkr_todate_medium_summary_2026,,,980.01
01_sales_index,gross_lkr_todate_medium_summary_2025,,,1043.0
01_sales_index,gross_lkr_weekly_orthodox_low_2026,,,1244.5
01_sales_index,gross_lkr_weekly_orthodox_low_2025,,,1310.6
01_sales_index,gross_lkr_todate_orthodox_low_2026,,,1253.65
01_sales_index,gross_lkr_todate_orthodox_low_2025,,,1293.39
01_sales_index,gross_lkr_weekly_ctc_low_2026,,,982.91
01_sales_index,gross_lkr_weekly_ctc_low_2025,,,1016.31
01_sales_index,gross_lkr_todate_ctc_low_2026,,,960.45
01_sales_index,gross_lkr_todate_ctc_low_2025,,,950.31
01_sales_index,gross_lkr_weekly_low_summary_2026,,,1228.31
01_sales_index,gross_lkr_weekly_low_summary_2025,,,1298.8
01_sales_index,gross_lkr_todate_low_summary_2026,,,1233.52
01_sales_index,gross_lkr_todate_low_summary_2025,,,1279.42
01_sales_index,gross_lkr_weekly_total_2026,,,1173.31
01_sales_index,gross_lkr_weekly_total_2025,,,1226.61
01_sales_index,gross_lkr_todate_total_2026,,,1174.2
01_sales_index,gross_lkr_todate_total_2025,,,1208.08
02_auction_offerings,sale_id,Primary key: SALE_{number}_{year},text,SALE_06_2026
02_auction_offerings,category,Tea category: ex_estate / high_medium / lg_leafy / lg_semi_leafy / lg_tippy / premium_flowery / off_grades / dust / total,text,ex_estate
02_auction_offerings,qty_mkgs,Quantity on offer in Million Kilograms,float,0.73
02_auction_offerings,demand_label,Demand description: good / fair / fair_general / less / poor,text,goodgeneral
02_auction_offerings,demand_score,Demand encoded numerically: good=4 fair=3 less=2 poor=1,integer,3
02_auction_offerings,lots,Number of lots in this category,integer,748.0
02_auction_offerings,kgs,Kilograms offered in this category,integer,729368.0
03_quantity_sold,sale_id,Primary key: SALE_{number}_{year},text,SALE_06_2026
03_quantity_sold,sale_number,Auction sale number within the year,integer,6
03_quantity_sold,sale_year,Calendar year of the sale,integer,2026
03_quantity_sold,sale_month,Month name of the sale,text,February
03_quantity_sold,private_sales_weekly_2026,Private sales volume this week 2026 (kgs),integer,167226
03_quantity_sold,private_sales_weekly_2025,Private sales volume this week 2025 (kgs),integer,245835
03_quantity_sold,private_sales_todate_2026,,,1119831
03_quantity_sold,private_sales_todate_2025,,,1177536
03_quantity_sold,public_auction_weekly_2026,Public auction volume sold this week 2026 (kgs),integer,4898035
03_quantity_sold,public_auction_weekly_2025,Public auction volume sold this week 2025 (kgs),integer,5185038
